variable ordering: Eki, Ekf, Ugi, Ugf, G, M, m, ve, r

component_1:
equations:
Eki-.5*m*ve^2
Ugf
Eki-Ekf+Ugi-Ugf
1.9902*G*M*m-1.0021*m*ve^2*r
points:
8.42065e-65-5.11857e-65*ii, -.12665+.0557998*ii, -.12665+.0557998*ii, -2.90779e-109+2.27422e-110*ii, .339436+.19509*ii, -.502358+.205352*ii, -5.92481e-18-1.13358e-17*ii, -.233196+.362607*ii, -.114318+.625752*ii
-5.36119e-33-4.92327e-33*ii, -.0943579+.299845*ii, -.0943579+.299845*ii, 0, .148479+.187819*ii, -1.76243-.064608*ii, 4.55975e-32+2.4205e-32*ii, -.067478+.526727*ii, -.499216-.253732*ii
6.619e-35+1.79384e-32*ii, -.055496+.843907*ii, -.055496+.843907*ii, 7.10469e-32+5.0346e-33*ii, .918391-.39267*ii, -.026209+.0975662*ii, -7.65642e-32+1.2676e-31*ii, .473909-.132959*ii, -2.17148-.275268*ii
0, -.144534-.46897*ii, -.144534-.46897*ii, 3.8369e-32-6.02697e-32*ii, .27646-1.01786*ii, -.167914-.79437*ii, 7.11283e-160-7.82411e-160*ii, -.528605-2.06921*ii, 1.90501-2.02048*ii
-7.18212e-188+5.7457e-188*ii, -1.20841+.321671*ii, -1.20841+.321671*ii, 0, .84204-.900282*ii, -.716786+.057039*ii, -3.44742e-187-2.29828e-187*ii, .436402+.103507*ii, .369257-.241541*ii
2.34838e-122, .518898+1.47642*ii, .518898+1.47642*ii, 0, -1.55846-4.92762*ii, -.122931+5.9859*ii, 9.83275e-123-4.91638e-123*ii, 4.67155-1.41152*ii, -.081756+.582732*ii
3.64451e-87+4.77557e-87*ii, -.418336-1.03735*ii, -.418336-1.03735*ii, -2.34771e-31+3.94439e-31*ii, .903276-1.56879*ii, .038949+1.76077*ii, -1.35727e-86+1.20646e-86*ii, 1.03882-1.56167*ii, .930199+.726043*ii
3.34244e-63*ii, -1.25037+.339459*ii, -1.25037+.339459*ii, 0, -.174426+.351811*ii, 1.45032+.213793*ii, -9.72346e-63-3.03858e-63*ii, -.464234+.191385*ii, .423618-1.62536*ii
3.34444e-198+2.50833e-198*ii, -.0184378-.116781*ii, -.0184378-.116781*ii, 0, .578073-2.38509*ii, 1.96926-.928306*ii, 8.36109e-199+2.09027e-198*ii, 1.24966-.446579*ii, .680246-.607822*ii
0, 1.81161-.517502*ii, 1.81161-.517502*ii, 0, .572331-1.71537*ii, -1.29428-1.12877*ii, -3.48812e-103-6.97624e-104*ii, 2.80477+.299894*ii, 3.38914+.534785*ii
-3.48812e-104-3.48812e-104*ii, 1.6226-.849662*ii, 1.6226-.849662*ii, -8.03001e-32+8.62318e-32*ii, -1.45222-.220389*ii, .1176-.283549*ii, -5.23218e-104-3.22651e-104*ii, 1.26634-.215515*ii, .833256+.734947*ii
-4.10537e-48+4.44748e-48*ii, .558199-.050653*ii, .558199-.050653*ii, 0, -.04894+1.71596*ii, .250312-.326103*ii, -4.44748e-48+1.36846e-48*ii, 1.21571-.111375*ii, .928784-.051913*ii
0, -.075013-.173685*ii, -.075013-.173685*ii, -7.07138e-32+1.18629e-31*ii, -2.32755+.239922*ii, -.862803+2.2166*ii, 0, -.531128+.252125*ii, -.670784-1.33674*ii
-2.45916e-185+2.9418e-185*ii, -.502038+2.00385*ii, -.502038+2.00385*ii, 0, 1.27694+.234505*ii, -.161869-1.81762*ii, -7.3545e-186+1.25026e-184*ii, -.850056+1.16707*ii, -1.72514-1.66556*ii
-3.02546e-122-1.87579e-121*ii, 1.8509-2.12143*ii, 1.8509-2.12143*ii, 1.30702e-31+1.11689e-31*ii, -5.66428+3.45505*ii, -2.14223-5.85532*ii, -3.02546e-122+3.32801e-122*ii, -1.24259-2.23538*ii, 3.8013-7.68202*ii
-3.03858e-64+6.83681e-64*ii, -.32218-.244521*ii, -.32218-.244521*ii, 0, .253604-1.07626*ii, .813011-.443081*ii, -6.07716e-64-1.36736e-63*ii, .107196+.470425*ii, .710746+1.24053*ii
-5.216e-108-2.98057e-108*ii, .132487-.528095*ii, .132487-.528095*ii, 0, 1.38447-.318108*ii, .354547+2.30032*ii, -3.40637e-108-2.21502e-108*ii, -.54641+1.91873*ii, -2.63742+1.19223*ii
-2.43087e-63+4.55787e-64*ii, 1.12746+.813092*ii, 1.12746+.813092*ii, -2.57239e-32-2.02721e-32*ii, .357545-.709244*ii, .580379+3.12476*ii, 9.72346e-63-3.16012e-62*ii, .496663-.0282049*ii, 2.72604-.073537*ii
-1.41206e-183-1.35323e-183*ii, .0813933+.478383*ii, .0813933+.478383*ii, -1.72848e-31+1.90072e-31*ii, -.590412+1.52415*ii, -.299326+1.96223*ii, 4.27908e-184+1.64741e-183*ii, -.172797-1.29299*ii, 2.08961-.624368*ii
3.3735e-80, -.750145+.217845*ii, -.750145+.217845*ii, 7.09189e-32+6.67228e-32*ii, -1.07339+.863979*ii, -.276816-.674758*ii, -1.91761e-93-1.41835e-93*ii, -.430096+.988614*ii, .0052415+.43213*ii
9.63968e-181-2.68104e-180*ii, .710005+1.59286*ii, .710005+1.59286*ii, 0, -2.51634-1.74454*ii, -1.19512+.748053*ii, 2.53042e-180+4.09686e-180*ii, -.15408-.994289*ii, -1.24899+3.58174*ii
2.48921e-60-1.08903e-60*ii, 1.06704+2.42386*ii, 1.06704+2.42386*ii, 0, -1.17194-.116057*ii, 1.50514+2.22603*ii, -5.83408e-61+1.55575e-61*ii, .107379-2.62264*ii, .344879+.167945*ii
-3.78787e-167*ii, -.049920-1.08135*ii, -.049920-1.08135*ii, 1.67416e-31-1.06812e-31*ii, 1.36622+.494292*ii, .618802-.246612*ii, 6.78332e-167+8.47915e-167*ii, .408985-.662992*ii, -1.04879-1.67994*ii
1.1456e-151-1.05013e-151*ii, -.379959-1.2562*ii, -.379959-1.2562*ii, 0, .596705-.050047*ii, .628405-2.44474*ii, -1.05013e-151-3.58e-152*ii, -.243626-2.08172*ii, -.123817-.854522*ii
