variable ordering: Eki, Ekf, Ugi, Ugf, G, M, m, ve, r

component_1:
equations:
Eki-.5*m*ve^2
Ugi*r+G*M*m
1.9902*G*M*m-1.0021*m*ve^2*r
points:
-1.54116e-16-1.7616e-16*ii, 3.3434+2.06533*ii, 3.11196e-17-2.3463e-18*ii, -.885092+.466578*ii, .255329-.994853*ii, 1.08892+.113549*ii, -9.34869e-17+3.10284e-16*ii, -.727305-3.50422*ii, .114122+.606372*ii
-4.18239e-85-1.02951e-84*ii, -.171785-.776691*ii, -7.2624e-86+2.05902e-84*ii, .813572-2.14218*ii, -.39752-1.05978*ii, 1.02695+.411653*ii, 2.57378e-84-1.02951e-84*ii, -1.44707+.265519*ii, -.816577+.990074*ii
2.04699e-32-2.04889e-32*ii, .723191-.94111*ii, -8.30123e-32-1.7367e-31*ii, -1.51194+.801161*ii, -.337331+.107123*ii, .007610-.611001*ii, 1.25562e-31-1.19767e-32*ii, .637653-.22943*ii, -.381403-.389339*ii
-3.17721e-197+4.68221e-197*ii, -.935461-.807324*ii, -1.33061e-109+5.32245e-110*ii, -.610709-.477546*ii, -.160865+1.45979*ii, .223288+.595218*ii, -2.67555e-196*ii, .337877+.275878*ii, -.522603-1.40754*ii
2.67888e-102-4.46479e-102*ii, -.159267-2.76033*ii, 1.96364e-90+4.84006e-90*ii, 2.28126-.693121*ii, -1.88193+2.58536*ii, -1.15859-2.6159*ii, -5.58099e-103+4.46479e-103*ii, -1.09947-2.88025*ii, .466974-.749636*ii
-6.76244e-131-7.61634e-131*ii, .237279-.92103*ii, 1.81114e-71-1.35835e-71*ii, -.664118-.840796*ii, -.057847-.799705*ii, .297889-.399673*ii, 2.36685e-130-2.25415e-130*ii, .467549-1.10037*ii, .866233-1.72949*ii
-3.74992e-32+5.95933e-32*ii, 2.6271+.56691*ii, -3.00094e-31-5.85203e-32*ii, .895827+.065699*ii, 1.40407-1.18794*ii, -.359942-.266013*ii, -3.49098e-31-1.34602e-31*ii, .47371-.389837*ii, 1.00128+.110241*ii
-6.50693e-194, -.6457+1.38577*ii, -9.58807e-92*ii, -.569802+.084579*ii, -1.50973+.715817*ii, -.299148-.331359*ii, 1.36988e-194+1.36988e-194*ii, -.0924+1.00165*ii, -.165542-1.02949*ii
2.29828e-186+5.7457e-188*ii, -2.72433+1.0576*ii, -3.11151e-60-1.8669e-60*ii, 1.43985+2.01807*ii, 4.22595+3.58824*ii, .90259+2.73726*ii, 2.11154e-186-3.56233e-186*ii, -1.37507+2.37317*ii, -.976512+2.73734*ii
4.09868e-32-1.14942e-32*ii, .824078-1.15192*ii, -2.5153e-31-1.07128e-31*ii, -.455211-1.28729*ii, -1.12022-.299849*ii, -.566512-1.86247*ii, 2.68961e-32+6.55192e-32*ii, .818942-.72897*ii, -.39645+.429949*ii
8.82828e-188+2.48185e-188*ii, .225469+1.21778*ii, 4.53819e-123, .170196+.426346*ii, -.528039-1.71033*ii, -.726568+1.10667*ii, -3.44742e-187+2.29828e-187*ii, -.0332877-.0827204*ii, .377388+1.94412*ii
-4.13247e-62+9.72346e-63*ii, .3054+.261508*ii, 2.37009e-62-1.94469e-62*ii, .033046+1.63478*ii, -.382385+.851473*ii, .096874-.855721*ii, -2.43087e-62+1.70161e-62*ii, -.569308-1.61638*ii, .52444-.738505*ii
-2.13187e-114+7.10624e-115*ii, .251271+.773134*ii, -4.97841e-60-1.12792e-60*ii, .322531+1.1467*ii, 1.11678-1.49249*ii, .57289-1.16954*ii, -1.137e-113+2.43642e-114*ii, -.0956366+.468366*ii, 1.33952-.686455*ii
-7.60536e-73-2.78016e-73*ii, -1.36439+3.90637*ii, 7.82091e-74-1.0391e-73*ii, 5.98742-2.37178*ii, -.455107-.0503295*ii, -1.94845+4.6703*ii, -3.37156e-74+1.017e-73*ii, 3.90224+4.26346*ii, 1.35207-4.38242*ii
-2.66487e-104*ii, .96132+2.11601*ii, -1.65814e-75+1.86207e-75*ii, 1.47701-2.34907*ii, .048292-1.62754*ii, -.651153-.041904*ii, 2.7905e-104-1.029e-103*ii, -.730953+.832379*ii, -.501698+.769028*ii
2.67461e-179, -.530468+.536636*ii, 7.97186e-31-2.54025e-31*ii, -.019488-1.48069*ii, .717504-1.02642*ii, .485022+.183607*ii, 5.84406e-180-9.63968e-181*ii, -1.73402-2.10472*ii, .382709+.246394*ii
-2.00992e-48-1.02634e-48*ii, -.541483-.036506*ii, -2.73691e-48+8.21073e-48*ii, .961217+.256353*ii, -1.41924+1.98011*ii, 1.02549-.310909*ii, 9.9213e-48-3.42114e-48*ii, -.45436+.113777*ii, -.673983-.458407*ii
-7.29583e-195+2.73976e-194*ii, .548091+.358105*ii, 9.45457e-124+1.13455e-123*ii, 1.04171-2.46518*ii, 1.75031-1.48213*ii, -.90346-.058548*ii, 5.13705e-195+1.02741e-194*ii, .391257-3.04899*ii, 1.86182+.395096*ii
-7.2926e-63-2.91704e-62*ii, -3.65573+.201256*ii, -2.27894e-63-2.06624e-62*ii, 1.93788+1.18202*ii, .133371+.442974*ii, .0147691-.19311*ii, 6.80642e-62+4.4971e-62*ii, -.296356+1.40049*ii, -.955135-1.7312*ii
-1.25354e-105+2.61609e-105*ii, .0848539-.0846005*ii, -2.83407e-31+3.61495e-32*ii, -.988283-.754719*ii, .716963-.318315*ii, -.507606+.527678*ii, 1.09004e-105+6.54023e-106*ii, .784827+1.08299*ii, .0779401+.41324*ii
-2.47846e-119-5.42163e-118*ii, 1.12958+1.14397*ii, 1.70318e-108-5.10955e-108*ii, .392258+3.27505*ii, .379042+1.6915*ii, -1.68405+.615379*ii, 5.9483e-118+2.47846e-118*ii, -.786908+2.07793*ii, -.811408-1.87679*ii
0, 1.42277-.268059*ii, 1.98277e-117-5.20476e-118*ii, -1.09919-.486984*ii, .179873-2.28818*ii, -1.54166-1.28235*ii, -4.59656e-187+2.29828e-187*ii, 1.73246-.726961*ii, -.25784-.787155*ii
