variable ordering: c0, c2, dp, r, Rad, u, L, mu, delP

component_1:
equations:
c0+c2*Rad^2
-c0-c2*r^2+u
.9978*r^3*delP-1.0012*r*Rad^2*delP+4.0073*r*u*L*mu
points:
-.0995363+.0548597*ii, .036029-1.40961*ii, -.673765+1.22769*ii, 2.92705e-16-2.15128e-16*ii, -.24627-.141253*ii, -.0995363+.0548597*ii, -.124499-.527962*ii, -1.26774+.662672*ii, 1.3367+.861129*ii
.0179684-.479275*ii, -.825223-.246105*ii, .084914+.516704*ii, 7.53309e-17+6.16886e-17*ii, -.457103+.589921*ii, .0179684-.479275*ii, -.548243+.251874*ii, -.390522+.480746*ii, .843212-.012753*ii
-.788385-.082604*ii, 1.55176-.332899*ii, -1.60583+.271323*ii, 2.76906e-17+9.64227e-17*ii, .697948+.111103*ii, -.788385-.082604*ii, .88756-.003426*ii, -1.52341-.459215*ii, .226934+1.5168*ii
-1.36315+.553001*ii, .326436+.810718*ii, -4.60777+.293911*ii, 7.74607e-221-3.62405e-220*ii, .916187-.918576*ii, -1.36315+.553001*ii, -5.36146+3.66497*ii, -3.31255-2.63257*ii, 4.29965-.673759*ii
.157908-.0789281*ii, -.912677+.562702*ii, .61951+.815604*ii, 4.72431e-32+6.83846e-32*ii, .405366+.0180458*ii, .157908-.0789281*ii, .283871-.237027*ii, 1.71851+.84453*ii, -.0996877+.384463*ii
.435116+1.91272*ii, 1.83445+1.36645*ii, 2.55738+2.11631*ii, -9.37521e-212-3.65338e-212*ii, -.320535+.868793*ii, .435116+1.91272*ii, .705166-2.82709*ii, .0098970-.210133*ii, -.381589-3.80682*ii
-.209712+1.00073*ii, .831432-1.91993*ii, 1.12924-2.35467*ii, -6.5321e-200-7.18531e-200*ii, -.695504+.070522*ii, -.209712+1.00073*ii, 2.53785+3.14047*ii, -2.56878-.435525*ii, .190649+1.89987*ii
1.54127-.930413*ii, -.0723066-.0590169*ii, 1.78043-.98622*ii, 2.44954e-201-1.95963e-200*ii, -3.59018+2.52975*ii, 1.54127-.930413*ii, -1.00007-2.68256*ii, .24346+.171014*ii, 1.41279+2.21479*ii
-2.4032-.703147*ii, -.406474+4.07441*ii, 1.11587-.335899*ii, 0, .60172-.499454*ii, -2.4032-.703147*ii, 1.28468-2.93012*ii, -.201075+.753739*ii, -3.45199+.195651*ii
.642842+.341134*ii, .195207-.782812*ii, .432527-.064499*ii, -3.37702e-226-1.26638e-226*ii, -.74817+.585046*ii, .642842+.341134*ii, .028412-.772419*ii, .871883+.530781*ii, -.862255+.826111*ii
1.88943+1.40634*ii, .553833-3.01367*ii, -1.41481+1.36002*ii, -8.81797e-102+3.3486e-102*ii, .744527-.462997*ii, 1.88943+1.40634*ii, -.601134+2.98762*ii, 1.54017-1.29278*ii, 1.58757+.358739*ii
-.616955+1.76834*ii, .514586+.230799*ii, -1.94596+.079043*ii, -2.72283e-144+2.883e-144*ii, 1.23204-1.34274*ii, -.616955+1.76834*ii, -.657523+2.49377*ii, -.063694+1.64386*ii, 1.46471-.056243*ii
-.565582+1.1041*ii, -1.6717-2.31269*ii, 1.15978-1.34949*ii, 1.8159e-113+9.88528e-114*ii, .56222+.344428*ii, -.565582+1.1041*ii, -2.06825-.386546*ii, 1.45874-.979302*ii, -1.23158+.303743*ii
15.3226+30.8291*ii, -.0351244+.0165314*ii, 12.337+18.0083*ii, 4.98417e-306-1.6243e-306*ii, -21.2812-20.8313*ii, 15.3226+30.8291*ii, 31.0583+18.0589*ii, 50.3433-23.9762*ii, -7.09428-40.3921*ii
1.55771-.432631*ii, 1.5775-.634069*ii, -1.43312+1.17059*ii, 0, .054227-.973629*ii, 1.55771-.432631*ii, 1.25786+.51582*ii, -2.83894-1.57303*ii, -.19301-.0757917*ii
-.500106-.491867*ii, .408145+1.23697*ii, -1.38539-.004176*ii, -3.5759e-32-3.34139e-32*ii, -.71324+.172651*ii, -.500106-.491867*ii, .0459162+.241143*ii, -.195513+.998383*ii, .204575+1.15482*ii
.130494-.711546*ii, -2.30393-1.04297*ii, .767136+.224283*ii, 2.48317e-218-3.49348e-218*ii, -.32941+.421349*ii, .130494-.711546*ii, -2.08522-.757373*ii, -2.33143+.516915*ii, -2.44648+.651588*ii
-.640183+.82121*ii, -.854073+.226922*ii, .697476-1.12939*ii, 1.34511e-114+2.03035e-115*ii, -.346066-1.02885*ii, -.640183+.82121*ii, -.297096+1.05493*ii, -1.06041+1.32728*ii, -.903914-1.64067*ii
-1.1594-.170062*ii, -1.76634-.118053*ii, 1.54257-1.31984*ii, -3.72082e-175+3.59645e-175*ii, .032091-.812958*ii, -1.1594-.170062*ii, 1.31559+2.64402*ii, .573757+.302616*ii, 2.21229-.131662*ii
-.229469-.903453*ii, 2.05523-1.02356*ii, -1.88817-.547415*ii, 0, .400017+.495953*ii, -.229469-.903453*ii, 2.21955+.443954*ii, .151008-.948378*ii, -.040120-1.21886*ii
-.442234-1.4089*ii, 1.34109+.127743*ii, -.387242-2.33919*ii, 0, -.872383-.578869*ii, -.442234-1.4089*ii, -1.92732-.434501*ii, .838425-.615728*ii, -.023040-.517447*ii
-.756472+.795032*ii, 1.034+.29738*ii, -.785792-.046548*ii, 3.7331e-301-6.80116e-300*ii, -.863555+.523699*ii, -.756472+.795032*ii, 3.17467+2.27969*ii, .105958-.265772*ii, -.33347-1.14847*ii
2.87436-1.25561*ii, 1.57898-.879993*ii, -1.36722+3.71939*ii, -3.29917e-121-1.64326e-121*ii, .063596-1.31574*ii, 2.87436-1.25561*ii, 7.63934+.114267*ii, 5.49047+4.93469*ii, .074079+1.8148*ii
.051916-.896452*ii, .90042+2.02703*ii, -1.15195+.36663*ii, -5.86071e-203-9.79426e-203*ii, -.618348-.149969*ii, .051916-.896452*ii, -1.42887-.090395*ii, -.500982+.916213*ii, -.762942-.957877*ii
-1.06281-.166243*ii, -2.55157-.33346*ii, -.475302+.500871*ii, 1.81383e-137-9.06913e-138*ii, -.00815+.646509*ii, -1.06281-.166243*ii, 2.41835+1.53475*ii, -3.13534+1.63719*ii, -.095161-3.13493*ii
