variable ordering: c0, c2, dp, r, Rad, u, L, mu, delP

component_1:
equations:
-c0-c2*r^2+u
.9978*r^3*delP-1.0012*r*Rad^2*delP+4.0073*r*u*L*mu
points:
-.247856-.253653*ii, -.0962281+.0051756*ii, .718093-.30847*ii, -7.34422e-17-2.00271e-17*ii, -.0895324+.287666*ii, -.247856-.253653*ii, -.20447-.156806*ii, -.0250747-.433517*ii, .203365-.106715*ii
.239928-.0077425*ii, -1.06883-.324882*ii, .646102-.034131*ii, 9.38072e-154+8.95001e-154*ii, -1.92629-.375192*ii, .239928-.0077425*ii, 1.6034-.25725*ii, .281195+.0183409*ii, -.515976+.692772*ii
.275519+.608846*ii, -.088725-.969077*ii, .362001-.0106132*ii, -1.64215e-47-2.60007e-47*ii, .257903+.846357*ii, .275519+.608846*ii, .26217+.0993004*ii, 1.32143+.367777*ii, -.007551-.213119*ii
-1.1755-.816164*ii, 2.43436+2.26707*ii, 3.46844+.529958*ii, -1.06449e-108+2.34188e-108*ii, -2.85491+1.57175*ii, -1.1755-.816164*ii, 1.50728+6.34314*ii, 1.46224+1.61038*ii, 1.21512+.608494*ii
.457666+.214089*ii, -.235441-2.81418*ii, 1.10711+1.3638*ii, -6.88216e-147, -1.4632+.037372*ii, .457666+.214089*ii, -.168872-1.29241*ii, -1.17648-.342369*ii, -1.0784-2.64162*ii
-.768581+.356211*ii, -.145747+.0704952*ii, -1.35149-.781121*ii, 8.45304e-132, 1.11556+1.11862*ii, -.768581+.356211*ii, -1.11523+.559954*ii, -.343911+.650685*ii, -.560655+1.00521*ii
.799095+1.0486*ii, -.286746+1.40118*ii, 1.10138-.93422*ii, 1.06449e-109+3.72571e-109*ii, -.631073+.423059*ii, .799095+1.0486*ii, -.113223-.994124*ii, -.110814-.664349*ii, .448743+.623036*ii
.178176+.0564754*ii, 1.56348-.019767*ii, .623199-.062830*ii, 8.81811e-32-6.59824e-32*ii, .0670108+.289848*ii, .178176+.0564754*ii, .608573-.277759*ii, -.0908654+.285466*ii, -.601261+.3193*ii
.442941-.273892*ii, .218328+.316172*ii, -.143227-.840396*ii, -3.59265e-75-2.21086e-75*ii, .269515+.886875*ii, .442941-.273892*ii, 1.05852-.607141*ii, -.936234-.35589*ii, -2.11902+1.18401*ii
-.671388-.599948*ii, 2.12667+1.53175*ii, -1.61014+1.24143*ii, -5.22812e-134-7.15427e-134*ii, .567413+.754125*ii, -.671388-.599948*ii, .0733431-.0610994*ii, -.943728+.324866*ii, -.527297+2.28739*ii
.206533-.345656*ii, -1.02023-.205784*ii, -1.31574+.393325*ii, 2.97415e-118+3.84161e-118*ii, -.225204+.512443*ii, .206533-.345656*ii, .185395-1.30091*ii, -.131686-1.48912*ii, .44278+.353119*ii
-2.32195+2.59091*ii, 1.05011+.364937*ii, -4.59424+.520899*ii, 6.47713e-78-1.83519e-77*ii, .506322+4.01725*ii, -2.32195+2.59091*ii, -1.55438+2.27072*ii, -3.23041-1.55298*ii, -5.41651-3.65165*ii
-.063329-2.35324*ii, 2.77239-1.84845*ii, 1.55364-1.59315*ii, 9.19719e-107+1.77131e-106*ii, -3.83508-2.76585*ii, -.063329-2.35324*ii, .970611+.014735*ii, 1.76882-1.41714*ii, -1.58955+2.06977*ii
.194563+1.22831*ii, -.970704+.455807*ii, -1.06762+1.49621*ii, 2.20131e-134*ii, -.448878-.485102*ii, .194563+1.22831*ii, -.791753+1.29145*ii, 1.46682-.320075*ii, -.161623+1.22559*ii
.302799-.184984*ii, -.7032-.455184*ii, -1.02209+.019611*ii, -2.81768e-132-8.45304e-132*ii, .143808-.544673*ii, .302799-.184984*ii, -.176808+1.10446*ii, .783383+.181185*ii, -.626065-.033094*ii
-.893868+.283406*ii, -.93178+.918868*ii, .18962-.768927*ii, 3.20036e-99+1.37158e-99*ii, .495803-.567133*ii, -.893868+.283406*ii, -.951753-1.01989*ii, -.353677-.0196327*ii, .428621+.225348*ii
-.553698+1.27992*ii, .645155+.804191*ii, 2.4797-.698568*ii, 1.2513e-147+3.12825e-148*ii, 1.20846+.305093*ii, -.553698+1.27992*ii, -2.1756+.17273*ii, 1.7495-1.45494*ii, .189976+.293059*ii
-.114538-1.29082*ii, -1.16371-.111177*ii, -.163432+2.60944*ii, -1.10066e-133-3.30197e-134*ii, -.22157+1.577*ii, -.114538-1.29082*ii, 1.36455-.217622*ii, .124108-.243486*ii, -.299225-.471375*ii
-.119771-1.13535*ii, .647908-.86044*ii, -.40989+1.55288*ii, 1.73492e-118-1.65686e-118*ii, -.263274+.196116*ii, -.119771-1.13535*ii, .728448-.117712*ii, .600156+.22392*ii, .721525-.90168*ii
-.761014-.227605*ii, -.006993-.745268*ii, 1.68946+1.24412*ii, -8.12934e-117-7.9311e-118*ii, 1.9751-1.40334*ii, -.761014-.227605*ii, -2.59014+1.79418*ii, -.0874555+.169879*ii, .798592+.635625*ii
.23555-.292671*ii, .339152+1.27918*ii, .214997-.791348*ii, 2.47495e-31-1.90356e-32*ii, -.517032+.430425*ii, .23555-.292671*ii, -.0992005+.108704*ii, .688879-.711109*ii, -.320194+.886239*ii
.101255-.280738*ii, .469252-1.07401*ii, .754376-.132688*ii, 1.15041e-121-4.84074e-122*ii, .905753-.990412*ii, .101255-.280738*ii, -.22905+1.39125*ii, -1.63134-1.4395*ii, 1.20326+.455858*ii
1.39665+.307641*ii, -1.86346+1.17929*ii, 1.26179+.492506*ii, -9.68578e-133+7.0442e-133*ii, .613169+1.06762*ii, 1.39665+.307641*ii, .501594-.836917*ii, .175135-.449255*ii, -.501851+.592106*ii
.479902+.924139*ii, .748831+.048028*ii, .281985-.467097*ii, 8.06145e-138+1.34358e-137*ii, -.526815-.984387*ii, .479902+.924139*ii, .15644-.0790793*ii, .258215+1.37928*ii, .13014+.936568*ii
1.19248+.555528*ii, .51749-.870025*ii, -2.193+.30774*ii, 8.17528e-107-3.81513e-106*ii, .117661-.698293*ii, 1.19248+.555528*ii, 1.45991-.29374*ii, .967903-2.18714*ii, 2.19639-.168522*ii
