variable ordering: S, ap, sintheta, dA, dtheta, r, P, qc, x0, w

component_1:
equations:
-6.28*sintheta*dtheta*r^2+dA
-S*dA+P
-sintheta^3*dtheta+1.33333
ap^2-.5*x0^2*w^4
75.89*P-319.1*qc^2*x0^2*w^4
points:
1.88897+2.17577*ii, .226296-.0624598*ii, 1.56856-.222531*ii, -.587792+.363634*ii, .305792+.137582*ii, -.184743-.415993*ii, -1.9015-.592002*ii, -.845675+1.8926*ii, .148579+.101901*ii, -.572339-1.23092*ii
-5.88012+2.80994*ii, .273089-.244832*ii, .297509+.665596*ii, -.804883+.24755*ii, -3.27693+1.04888*ii, -.194709+.124673*ii, 4.0372-3.7173*ii, -2.06227-.773448*ii, -.649887+2.58403*ii, .421926+.129018*ii
-5.93101+2.174*ii, .662848-.139689*ii, .318787-.696731*ii, -.817958+.222019*ii, -2.84596-.829047*ii, .233124+.0712434*ii, 4.36864-3.09503*ii, -1.17193+.118167*ii, -1.8957+2.80708*ii, .199511-.492972*ii
-.028833-.107819*ii, .0990077-.0011466*ii, .917155+.200219*ii, .85856-.557545*ii, 1.2881-.968686*ii, .327365-.0239543*ii, -.0848689-.0764936*ii, -.434845+1.09395*ii, -.759268-1.70968*ii, -.150443-.228517*ii
-.117886-.0255781*ii, -.0249294+.0634493*ii, 1.12039+.114841*ii, .0842468-.468093*ii, .889819-.281536*ii, -.222411+.150279*ii, -.0219045+.0530269*ii, -.69101+.995259*ii, -.666723-1.13539*ii, .11835-.24334*ii
-6.23497-1.6623*ii, .0357693+.460739*ii, -.678736+.139085*ii, -.862217+.26182*ii, -3.29434-2.28467*ii, .0778337+.213541*ii, 5.81112-.199175*ii, .108521-1.79606*ii, -2.54905+1.63337*ii, -.238561-.398698*ii
-7.28757-.033206*ii, .520634-.475621*ii, .296242-.612925*ii, -.86348+.239804*ii, -4.12425-.922871*ii, -.211767-.0689509*ii, 6.30063-1.71892*ii, -1.02639-.712911*ii, -2.32971+3.04279*ii, -.045115+.50813*ii
-8.84659-2.0707*ii, -.0031498+.387002*ii, -.607504+.09049*ii, -.870785+.276678*ii, -5.1974-2.46971*ii, -.0602857-.193728*ii, 8.2764-.64452*ii, -.120609-2.56439*ii, -3.34094+2.65688*ii, -.323142+.15427*ii
.196134-.485506*ii, -2.25657+3.44115*ii, .652487-.136992*ii, 6.10727+1.99701*ii, 3.65949+2.61721*ii, -.583341+.028568*ii, 2.1674-2.57344*ii, .130641+.0809919*ii, 2.46283-5.99399*ii, -.943355-.090156*ii
.161444+2.56881*ii, -.278891+.292421*ii, .747277+1.37685*ii, -.593112+.298346*ii, -.345725+.0273808*ii, .32863-.294264*ii, -.862148-1.47543*ii, -1.08337+.265962*ii, .229469-.146683*ii, -.173634-1.43812*ii
-8.99783+.00418*ii, -.0679844+.441723*ii, -.655533+.069095*ii, -.848101+.274382*ii, -4.42627-1.44251*ii, .0555939+.207759*ii, 7.62992-2.47238*ii, -.665328-2.0814*ii, -2.66129+2.79156*ii, .386206-.121333*ii
.115829-.309833*ii, .0715214+.227276*ii, -.210858-.850296*ii, 1.8691-2.08854*ii, 1.32136-1.47879*ii, -.312142-.399321*ii, -.430603-.821022*ii, .921005+1.04579*ii, -1.28917-2.01502*ii, -.0494495+.372042*ii
.318081-.454246*ii, .0906864-.133556*ii, -3.54817-1.14428*ii, .274846-2.59726*ii, -.0152612+.0207175*ii, -1.90056+.850368*ii, -1.09237-.950986*ii, 2.49801-.606922*ii, .262545-.0160934*ii, .410706+.836224*ii
-3.9915-1.28819*ii, .470883-.426497*ii, .485787+.568647*ii, -.882728+.1536*ii, -2.71698-1.66629*ii, .171653-.174323*ii, 3.72127+.524026*ii, -.728591-.759136*ii, -1.9425+1.25509*ii, -.621244+.050535*ii
.0449424-.218436*ii, .160625+.0659612*ii, .862141+.112166*ii, 1.82662-.641927*ii, 1.87803-.767857*ii, .417735-.0165505*ii, -.0581274-.427851*ii, -.420668+1.23528*ii, -.518905-2.41355*ii, -.279065+.14695*ii
-4.92223-.450912*ii, 1.17054-.367501*ii, .227026-.686773*ii, -.851117+.19282*ii, -2.8817-2.02703*ii, .228487+.0481909*ii, 4.27634-.565327*ii, -.567233-.137907*ii, -2.45889+2.34356*ii, -.696104-.161951*ii
.100703-.490254*ii, 3.6567+5.7683*ii, .492243+.132708*ii, 5.69426-9.24292*ii, 7.08214-7.14783*ii, .563028-.141359*ii, -3.95795-3.72242*ii, -.0691885-.0952075*ii, -9.01523-8.38649*ii, .113286-.878407*ii
.789131+2.32869*ii, .22521-.0367827*ii, 1.10239-.087868*ii, -.607981+.351294*ii, .957905+.233009*ii, .107253+.301752*ii, -1.29783-1.13858*ii, -.989981+1.7212*ii, .197391-.0491961*ii, .051851-1.25845*ii
.305742-.495317*ii, -1.31828-.870044*ii, .121808+.823907*ii, -.43147+3.08969*ii, -.983731+2.08776*ii, -.330598+.386191*ii, 1.39846+1.15836*ii, -.285941+.0692107*ii, 3.01604+.18775*ii, -.830736-.221524*ii
.041251-.367645*ii, -.0571568+.436404*ii, -.578254+.503646*ii, 1.70701-3.23076*ii, 1.61758-2.47518*ii, .155445-.482128*ii, -1.11735-.760847*ii, .898009+.152927*ii, -2.01402-2.9205*ii, .390981+.150289*ii
.124435-.492967*ii, 5.24701+5.03627*ii, -.122394-.505477*ii, 5.96797-11.9779*ii, 6.19742-7.17113*ii, -.467901-.461912*ii, -5.16207-4.43248*ii, -.0493163-.113418*ii, -10.1867-7.54509*ii, -.057338+.898934*ii
.120472-.511088*ii, 3.7654+8.87328*ii, -.175922-.424351*ii, 13.2917-10.8016*ii, 12.7123-5.25213*ii, .440182+.487725*ii, -3.91928-8.09451*ii, -.0614191-.0879642*ii, -8.11082-14.9234*ii, -.043215+.894822*ii
.120918-.516702*ii, 6.02502+8.68615*ii, -.13215-.42165*ii, 9.96868-15.1533*ii, 12.2119-9.47094*ii, .465705+.453955*ii, -6.62436-6.98315*ii, -.0536273-.0858274*ii, -13.0868-13.3425*ii, .891182+.07561*ii
