variable ordering: S, ap, sintheta, dA, dtheta, r, P, qc, x0, w

component_1:
equations:
-6.28*sintheta*dtheta*r^2+dA
-sintheta^3*dtheta+1.33333
ap^2-.5*x0^2*w^4
74.9962*P-313.672*qc^2*x0^2*w^4
points:
.86332-.868693*ii, .206858+1.98285*ii, .767873+.331932*ii, -2.21657-.225522*ii, .774009-2.14201*ii, -.191074+.386909*ii, -.455198-1.42102*ii, -.157251-.141962*ii, -.650628+.273181*ii, -1.19148-1.60493*ii
.887861+1.2444*ii, -1.53901+.510035*ii, -.454055+.696435*ii, -.113301-1.97675*ii, 2.28974-.375346*ii, .0946314+.393047*ii, 1.27182-.024409*ii, .229024+.0734683*ii, -.715764-.551706*ii, 1.40667-.747313*ii
-.362288+.703314*ii, -.815614-.319646*ii, -.413957+.839986*ii, 1.47811-.745481*ii, 1.59217+.318026*ii, .0926234-.405952*ii, .419791+.832652*ii, .375085+.0676346*ii, .189847-.784106*ii, .814697+.933744*ii
.0180622+.434784*ii, .27948-.0293105*ii, .938924+.46495*ii, -1.31066+1.13696*ii, .220541-1.13808*ii, -.0488104+.474436*ii, -.41204-.987967*ii, -.812586+.979894*ii, -.010389+.510725*ii, -.583571+.661377*ii
1.02607-.27781*ii, -.364865-.625948*ii, -.470625+.779183*ii, -.944073-2.31408*ii, 1.76461-.104704*ii, -.2099-.450848*ii, .946674-.270236*ii, .179458-.438173*ii, -2.07411+.623887*ii, .42583-.540131*ii
3.12407-7.10576*ii, 12.1013-5.52626*ii, -2.77363+19.1157*ii, 7.14322+7.36199*ii, .0000775078+.000167992*ii, 11.0712-18.2895*ii, 1.77941-3.00005*ii, .0483459-.00433074*ii, -.0246861-.0719576*ii, -10.5626+11.6508*ii
-.028368-1.20393*ii, .184384+2.29581*ii, .756341+.365767*ii, -1.76651+1.13807*ii, .489514-2.19451*ii, -.0688313+.41521*ii, -1.14765-1.13357*ii, -.17001-.0863066*ii, .663349+.29923*ii, -1.8217-1.07582*ii
-.0381756-.339935*ii, -.365244-.183053*ii, 1.15177+.417162*ii, .281935+1.26288*ii, .365625-.626442*ii, -.250769-.411108*ii, -1.08144-.579695*ii, .203261+.91515*ii, .679929+.185226*ii, -.089777+.90101*ii
-.881645+.848663*ii, -.098892-1.05313*ii, -.391838+.961425*ii, 1.21933-.131026*ii, 1.09284+.47469*ii, .130058-.375432*ii, .366533+.88961*ii, -.20251+.248582*ii, .112274-.42562*ii, .322363+1.81507*ii
3.009-6.97711*ii, 12.0585-5.56873*ii, -2.72359+19.0496*ii, 7.08139+7.31341*ii, .0000773262+.000170386*ii, 10.9593-18.1686*ii, 1.81965-2.96656*ii, -.0484156+.00376775*ii, -.0242468-.0721552*ii, -10.4894+11.6935*ii
1.81155-1.79887*ii, .0968969+.238272*ii, .55509-1.29888*ii, .444105+1.33185*ii, -.442908-.166303*ii, .495357-.298589*ii, -2.29592-.662971*ii, 1.79623+1.04472*ii, -.408391+.397167*ii, -.446433-.66276*ii
.292066+.713608*ii, -.508604-1.53318*ii, -.379297+.855643*ii, .128623-1.49368*ii, 1.5442+.510054*ii, -.126528-.375277*ii, .96023+.255029*ii, -.0928204+.1921*ii, -1.29975+.304429*ii, .965787+.882348*ii
1.20935-.121165*ii, -1.36904+.596038*ii, -.510494+.682377*ii, -1.5226-1.1204*ii, 2.01921-.751005*ii, .232401+.331586*ii, .641565-.771072*ii, .231825-.0064438*ii, -.730143+.853176*ii, .307499-1.33637*ii
.648789+.212356*ii, -.227001-.201891*ii, -.762164-.790249*ii, 1.29622-.782628*ii, .75001+.672726*ii, .402376+.236783*ii, -.334306+.920319*ii, 1.09585+.259701*ii, -.841373-.704956*ii, .625551+.009232*ii
.782836+.101185*ii, .385838-.0352037*ii, .89545+.403488*ii, -2.32529+.139211*ii, .416892-1.34416*ii, -.198604+.478452*ii, -.054012-1.46141*ii, -.816384+.705806*ii, -1.14612+.96581*ii, -.576793-.181347*ii
.706943-1.32423*ii, -.364883-.312898*ii, 1.05201+.450098*ii, -.955505+1.55646*ii, .311812-.833544*ii, -.056452-.531409*ii, -1.33177-1.34424*ii, .305446+.941156*ii, .252536+1.39611*ii, -.652221+.231814*ii
-.842469+1.4683*ii, -.574545-.452834*ii, -.458863+.841557*ii, .593444-.688284*ii, 1.50994+.110756*ii, -.0219493+.315019*ii, .861667+.785539*ii, -.487881+.149783*ii, .061315-.569837*ii, .650316+1.17568*ii
.152078-1.06028*ii, -1.03633+.721162*ii, -.584795+.717712*ii, -1.33363+.563842*ii, 1.4902-.77641*ii, .340815+.17904*ii, -.358943-.519051*ii, .192968-.10045*ii, .529684+1.31963*ii, -.876743-.697851*ii
1.90832-1.07579*ii, 2.53855-2.78162*ii, -1.02563-.453746*ii, -1.91084-1.82949*ii, -.298432+.896836*ii, .451485-.439941*ii, .28513-.310749*ii, -.0545183-.0241422*ii, -4.73417+1.81715*ii, -.997292+.235909*ii
-.413113-1.89676*ii, 1.48127+1.40048*ii, .765745+.500952*ii, -1.04965+1.60084*ii, -.289568-1.71595*ii, .0367553-.435974*ii, -1.65173-.768888*ii, -.117614-.196418*ii, .31182+.301558*ii, -2.57792+.014566*ii
-2.31572-.079377*ii, .966587-2.89649*ii, -.783141-.408675*ii, 1.96109+.854974*ii, -.246716+1.91851*ii, -.345353-.283023*ii, -.91736+2.1727*ii, -.107036+.137045*ii, -.0248185+.378905*ii, -.431618+3.34458*ii
1.43967+.375602*ii, -.380256-.174314*ii, .936449+.305873*ii, -2.06146-.338551*ii, .814481-1.13204*ii, -.190302+.453779*ii, .174929-1.59584*ii, -.417612+.960417*ii, -1.2877+.910507*ii, .305723-.530697*ii
.338688+.741899*ii, .284967+.112737*ii, 1.05458+.404078*ii, .177024+.0232674*ii, .421755-.824005*ii, -.149814-.0689349*ii, -.198643-.476799*ii, -.170065+.792818*ii, -.406405-.772091*ii, .244829+.660891*ii
