variable ordering: S, ap, sintheta, dA, dtheta, r, P, qc, x0, w

component_1:
equations:
-sintheta^3*dtheta+1.33333
ap^2-.5*x0^2*w^4
74.9962*P-313.672*qc^2*x0^2*w^4
points:
1.26245+1.42134*ii, .157488+.173645*ii, .323915-2.11694*ii, -.214352-.990479*ii, -.0597174-.121908*ii, .953473-.202704*ii, .558458+.19422*ii, -.891183+.701423*ii, -.520443-2.28286*ii, -.364+.0953707*ii
.496582+.949445*ii, -.285434-.224427*ii, .703582+1.32418*ii, .468136+.783464*ii, -.393258+.0416833*ii, .101154+1.25513*ii, -.381943+.166641*ii, -.470627-.395428*ii, -.0130936-.418397*ii, -1.00367+.468346*ii
-.80773-2.45889*ii, .527952-.781582*ii, -.604011+.90516*ii, -1.36998+1.71381*ii, 1.01523-.200013*ii, .201783+.126464*ii, -.550517-.395938*ii, .289918-.0841007*ii, -.229913+1.53955*ii, .902783+.204652*ii
-.207703-3.61763*ii, -1.22194-3.99249*ii, -.27552-1.07729*ii, -2.72236+2.03913*ii, .661851-.7088*ii, 2.11326-.620629*ii, .614018+2.56988*ii, -.110663+.0766315*ii, -1.20132+2.14318*ii, 1.4255-.609337*ii
-.86585-8.30838*ii, -7.68132-5.31208*ii, -1.86746-.63642*ii, -3.88651+5.67427*ii, -.0959387+.144708*ii, 3.14791-2.6635*ii, 5.21456+4.09574*ii, .0918235-.0256243*ii, -1.61539+7.00962*ii, 1.1213-.760769*ii
-.071883+3.36453*ii, 2.92526+3.70466*ii, -.780816+1.63821*ii, 1.44704-.757344*ii, .216876+.0522628*ii, -2.34632+1.18388*ii, -1.82892-3.71938*ii, .0505061+.140308*ii, .662523-2.8965*ii, -1.35187+.647403*ii
5.16002+.18068*ii, 6.22721-4.96602*ii, 1.12651+.317358*ii, -3.25121-2.18545*ii, .565105-.610267*ii, 1.44546+3.53937*ii, -5.3518+2.49444*ii, .0463669-.0947455*ii, -4.57648-1.9302*ii, .769292+1.29461*ii
2.34045+2.32632*ii, .111508+.17022*ii, 1.92743-4.96053*ii, .02481-2.84308*ii, -.00793061-.00391929*ii, 2.5942-.638095*ii, 1.28629+1.23788*ii, -1.86368+1.29633*ii, -.464738-4.05027*ii, .0613068+.258516*ii
-2.15686-2.4967*ii, -.950884-.416983*ii, -.678698+.899355*ii, -.799303+2.56586*ii, .869574-.33589*ii, .118963-.496768*ii, .473523-.442*ii, .188874-.190148*ii, .807209+2.01526*ii, .761208-.311364*ii
3.83653+.861617*ii, .0644225+.195975*ii, -2.22728-6.74832*ii, -2.57843-3.03991*ii, .0030358-.00214182*ii, 1.78271-2.7315*ii, 2.65627+.170844*ii, -.936899+2.56892*ii, -3.1564-3.98667*ii, .0419496-.235826*ii
-1.2334+1.31114*ii, -.235406-.206454*ii, 1.1459+.689625*ii, .920242+.976894*ii, -.030349-.556547*ii, .213365+.795737*ii, -.430326+.216829*ii, -.624994-.443796*ii, 1.29241-.741068*ii, -.443619-.316904*ii
