variable ordering: S, ap, sintheta, dA, dtheta, r, P, qc, x0, w

component_1:
equations:
-S*dA+P
ap^2-.5*x0^2*w^4
75.0024*P-314.001*qc^2*x0^2*w^4
points:
-.00020328+.020837*ii, -.0594012-.0740471*ii, 1.49765+.833733*ii, -.424648+.89358*ii, .441632-.383723*ii, -.850096-.938919*ii, -.0185332-.00903003*ii, -.323784-.410355*ii, .674296-.340823*ii, -.327411-.265499*ii
.328178-.0950819*ii, .0466106+.216345*ii, -1.58116+2.24154*ii, -1.23731+.675287*ii, .01097+1.38367*ii, 1.07354-1.09427*ii, -.341851+.33926*ii, 1.06647-.192518*ii, .189084+.778429*ii, .008153-.625009*ii
-.035313-.554652*ii, .229102+2.73664*ii, 2.66881+2.96478*ii, -.342228+1.78448*ii, 1.30795+.39492*ii, -1.27567-3.46728*ii, 1.00185+.126803*ii, -.0184565+.125105*ii, 1.48791+.438043*ii, -.894107+1.30556*ii
-.050107-.551933*ii, .477659+2.60513*ii, 3.00155+3.21592*ii, -.306936+1.85826*ii, 1.55331+.365082*ii, -1.4992-3.62282*ii, 1.04102+.076297*ii, .028821-.130156*ii, 1.653+.410979*ii, -.803824+1.24615*ii
-1.27533-4.32333*ii, .114839-.0096993*ii, -1.33993-6.05051*ii, .429913-.428152*ii, -.27601-.158441*ii, -1.04484+4.97585*ii, -2.39932-1.31262*ii, -1.6283+4.68405*ii, .0906033+.0827371*ii, .461692+1.05603*ii
9.02207-.89077*ii, .0969567-.0832315*ii, 1.54128-7.68205*ii, .0868573-.449289*ii, -5.56933+1.98498*ii, -5.68068+3.32456*ii, .383419-4.13089*ii, -5.50618+.163851*ii, -4.29897+.167055*ii, -.193538+.0674325*ii
2.31406-3.07759*ii, 6.56367-4.47491*ii, -.666302-5.84696*ii, .418559-1.17938*ii, -.213353+1.59045*ii, -4.87829+6.23117*ii, -2.66108-4.01732*ii, .0847252-.0440588*ii, -.481259-.0121013*ii, 4.59792-1.48178*ii
5.01921-.697047*ii, -.138698+.0683101*ii, .101946-6.4473*ii, .021100-.517857*ii, -4.16757+.828916*ii, -3.31432+3.20808*ii, -.255065-2.61394*ii, -3.36888+1.33151*ii, -2.92053-.235325*ii, .0726059+.263348*ii
8.42906+3.19386*ii, -.0884417+.115223*ii, 2.72391-6.26257*ii, .0607012-.398817*ii, -6.52958+.1176*ii, -5.39454+1.0308*ii, 1.78542-3.16778*ii, -4.20079-1.71383*ii, -4.47654-1.43007*ii, -.120229-.171044*ii
-1.00845-4.0009*ii, -.11273+.0132994*ii, -1.16835-6.26101*ii, .444363-.451307*ii, -.595419-.312829*ii, -1.14313+4.91732*ii, -2.25375-1.32273*ii, -1.83831+4.56538*ii, -.117962-.0647726*ii, .332964+1.04019*ii
2.30515-3.13162*ii, 6.28411-4.4215*ii, -.630767-5.89509*ii, .413008-1.15367*ii, -.239861+1.53198*ii, -4.79393+6.23053*ii, -2.6608-3.95277*ii, -.0875986+.0443318*ii, -.502042-.013210*ii, 4.41583-1.462*ii
1.34242+.83629*ii, .950638-.970454*ii, -1.10006-1.95946*ii, -.55973-.273907*ii, -1.86373+.228532*ii, -.775943+1.35799*ii, -.522326-.835794*ii, .24347-.0671113*ii, -1.04716-.497296*ii, 1.0481-.747517*ii
1.55892+.778087*ii, .502338-1.15134*ii, -.885376-2.44459*ii, -.513102-.305592*ii, -2.05956+.031047*ii, -.881559+1.6352*ii, -.562107-.875631*ii, -.279532-.0248439*ii, -1.21784-.612641*ii, .784822-.828954*ii
5.67676+2.17059*ii, .1246-.140075*ii, 1.49099-5.39392*ii, -.0034258-.41803*ii, -4.94921-.124572*ii, -3.87517+1.49962*ii, .887924-2.38049*ii, -2.85623-.689618*ii, -3.25942-1.24512*ii, .226829-.156635*ii
1.12407+1.06946*ii, .293842+.21627*ii, -.9089-2.61081*ii, -.378097-.23979*ii, -2.40288-.182108*ii, -.728796+1.09058*ii, -.168562-.673903*ii, -.022387+.789143*ii, -1.22193-.699689*ii, .604353+.034622*ii
1.73955+4.69217*ii, -.016981+.557339*ii, 1.3336-3.16315*ii, .0011828-.287927*ii, -4.0715-2.22584*ii, -1.86295-.393876*ii, 1.35306-.495314*ii, -.152113-.728241*ii, -1.94804-2.49475*ii, .469433+.169607*ii
-4.23655+4.05548*ii, -2.43467-1.99591*ii, 1.86288-2.52957*ii, .248742-.186452*ii, -.974683-5.69227*ii, .790447+.832157*ii, -.297653+1.79868*ii, .145805+.0266384*ii, .49876-3.96236*ii, -.510519-.924234*ii
-.915374+2.46959*ii, -.193948+.171038*ii, .672402-2.39366*ii, .0248979-.087526*ii, -1.85995-2.30413*ii, -.651487+.361946*ii, .193363+.141607*ii, .331898+.563823*ii, -.427763-2.00153*ii, .364856+.213442*ii
-1.22807+1.40752*ii, -.158268+.0189937*ii, .8081-2.31791*ii, .0810651+.0404886*ii, -1.13489-2.09954*ii, -.724473+.682641*ii, -.156542+.0643782*ii, .067408+.889396*ii, -.010711-1.6995*ii, .271678+.242557*ii
.110359-.0310256*ii, .117132-.123842*ii, .920054+1.89365*ii, -.707936+.984711*ii, .689396+.215503*ii, -.373256-1.36159*ii, -.0475759+.130636*ii, .152009-.740497*ii, .760429+.061698*ii, -.243032-.506865*ii
-3.75266+3.64697*ii, -2.26808-2.08207*ii, 1.95655-2.6571*ii, .252559-.162049*ii, -.94163-5.35509*ii, .463919+.998412*ii, -.35678+1.52919*ii, -.138918-.0220397*ii, .42531-3.75029*ii, -.486936-.957345*ii
-.134281-.0862936*ii, -.127204+.11547*ii, 2.39712+.361988*ii, -.156222+.987898*ii, .567848-.852903*ii, -1.4247-.936162*ii, .106227-.119175*ii, -.764032-.249545*ii, .83838-.605344*ii, -.48396+.0270615*ii
.765809+.038402*ii, -.256715-.18558*ii, -2.68898-.799619*ii, -1.03481-.099709*ii, -1.58907+1.01039*ii, .987517+.979978*ii, -.788642-.116097*ii, .511491+.828949*ii, -.920044+.326045*ii, .314787-.599878*ii
