variable ordering: ad, T, omega, theta, sintheta, d, g, L, j, Pii, Tj

component_1:
equations:
-theta*L+d
T*omega-2*Pii
omega^2*d-ad
-4.00008*L*j^2*Pii^2+.999968*g*Tj^2
points:
.210182-.827784*ii, -.524629+.466746*ii, -1.04637+.230882*ii, .283977+1.08733*ii, 1.08706+.22536*ii, .469434-.576966*ii, -.232493+.0044916*ii, -.391188-.533896*ii, -.356933-.92909*ii, .220598-.304759*ii, .934209+.850699*ii
-.220226-1.91391*ii, -2.19966+.428771*ii, -.189702+1.27253*ii, .064971+1.00102*ii, .803099-.535415*ii, .464487+1.06714*ii, -.231475-3.39862*ii, 1.09157-.393167*ii, .371357+1.91086*ii, -.064173-1.44023*ii, 3.00411+1.30591*ii
-2.92635+4.41264*ii, 1.05688+.163182*ii, 2.90973-.695888*ii, .403667-.12229*ii, -.517928+1.96523*ii, -.514608+.291725*ii, -.44191+.542916*ii, -1.3682+.308195*ii, .384064+1.28536*ii, 1.5944-.130328*ii, -.23622-6.07072*ii
.691594+1.73899*ii, -.0168636-.425284*ii, -.30202+.839202*ii, .942573+1.19026*ii, .952631-.783432*ii, -2.06309-1.13072*ii, 2.86368+3.30583*ii, -1.42743+.602922*ii, -2.83574-1.9586*ii, .180996+.0571461*ii, .216684-.747975*ii
-12.3597-19.7194*ii, -.412348-1.16795*ii, -5.23729+11.6369*ii, .514504-.903214*ii, .416172+.855715*ii, .140969+.0234892*ii, 3.24926-15.2252*ii, .0474898+.129023*ii, -10.5095+11.0069*ii, 7.87541+.659228*ii, 19.1004+12.0904*ii
.0124296+.0388161*ii, .0012311+.294879*ii, .364862-.166705*ii, -.270242-.0343872*ii, .248469+.854446*ii, -.131797+.216296*ii, -.0283393-.00204121*ii, .379705-.848697*ii, .398807-.268957*ii, .0248036+.0536925*ii, -.0215653-.324788*ii
-4.3186+.318147*ii, -2.86168-1.08869*ii, .050604+2.61403*ii, -.997925+2.40653*ii, 3.25465-.534029*ii, .633097-.022056*ii, -2.85864-3.24753*ii, -.100904-.221232*ii, 1.45618+2.88713*ii, 1.35052-3.76781*ii, 6.13495+.147103*ii
-.0831209-.0622661*ii, .15984-.0383443*ii, .374293+.16952*ii, -.461678-.375298*ii, .338437+.832235*ii, -.601935+.126796*ii, .271058+.236948*ii, .650614-.803526*ii, .212992-.16664*ii, .0331636+.00637204*ii, -.00892417+.0296393*ii
-1.42947+1.7057*ii, 2.41383+.941833*ii, .09542-.934449*ii, .530274-2.20549*ii, .620658+2.95298*ii, 1.19598-2.22081*ii, -4.83772+.937393*ii, 1.07517+.283768*ii, 3.36+.160854*ii, .55521-1.08286*ii, -2.8554-2.64058*ii
.903879-.099572*ii, -.223565+.334434*ii, -1.01889-.458558*ii, .169497+.992421*ii, 1.11416+.535526*ii, .420423-.59483*ii, .005228+.721817*ii, -.512082-.511093*ii, -.229282-1.49877*ii, .190572-.119116*ii, -.309491+.608065*ii
2.66943-1.48294*ii, .28031+.278152*ii, -1.86297-.591919*ii, .276033-.597191*ii, 1.02063+.955598*ii, .346488-.720158*ii, .024481+.0593693*ii, 1.21459+.018789*ii, .236529-.971793*ii, -.178783-.342055*ii, -2.27856+2.46648*ii
