variable ordering: ad, T, omega, theta, sintheta, d, g, L, j, Pii, Tj

component_1:
equations:
ad-sintheta*g
T*omega-2*Pii
-T*j+Tj
.999968*g*Tj^2-4.00008*L*j^2*Pii^2
points:
-3.13868+9.894*ii, -9.90731e-23-8.27919e-23*ii, -3.21449-.347153*ii, 1.78877+.65711*ii, -1.05831+2.06687*ii, -8.62658+2.17343*ii, 4.40865-.738827*ii, -1.69699+1.30883*ii, -1.64277-3.31969*ii, 4.09224e-17-1.60254e-16*ii, -1.86609e-16-2.47501e-16*ii
-.118385+.411926*ii, 1.36363e-22+6.88918e-23*ii, -.50701+.058042*ii, .527837+.053774*ii, .406948+.86653*ii, -.417161-.0554427*ii, .336908+.294842*ii, -.0284091+.168728*ii, -.600914-.203074*ii, -7.87121e-17+2.5036e-17*ii, -1.11359e-16+2.45855e-17*ii
.220736+.188408*ii, 2.13591e-23-2.63568e-24*ii, -.750339+.619548*ii, .755057+.864264*ii, -.0387082+.268397*ii, .666567-.903511*ii, .571478-.90484*ii, -.292035-.72279*ii, -1.32922+.032182*ii, -7.19682e-24+7.60532e-24*ii, -2.83062e-23+4.19079e-24*ii
2.9376+3.22495*ii, -3.44728e-33+4.84285e-33*ii, -6.09726-5.24437*ii, 2.19351+.317562*ii, .769769+1.59234*ii, 2.36364-2.88918*ii, 2.36454-.701768*ii, 3.4058-3.47199*ii, -1.25327+2.36262*ii, 2.32083e-32-5.72463e-33*ii, -7.12143e-33-1.4214e-32*ii
.411154+1.46797*ii, 1.22416e-31-3.53262e-32*ii, -2.17487-1.59379*ii, -.708171-.239682*ii, .85198+.094655*ii, .244391+.224951*ii, .665794+1.64904*ii, .061988-2.44851*ii, .865141+.605473*ii, -1.6127e-31-5.91377e-32*ii, 1.27296e-31+4.35576e-32*ii
.242375+1.45171*ii, 3.4874e-23+1.60221e-21*ii, .896118+5.03153*ii, -5.31137-4.84736*ii, -3.30616-3.55255*ii, -3.8888+3.87706*ii, -.253006-.167233*ii, -3.64151-1.3037*ii, -1.22858-.226463*ii, -4.01517e-21+8.0562e-22*ii, 3.19996e-22-1.97634e-21*ii
6.94479-10.1655*ii, 7.1677e-31+7.53539e-31*ii, -.37745-14.8109*ii, 3.57018-7.40078*ii, -.884147-4.04691*ii, -2.77419+2.30722*ii, 2.03965+2.16169*ii, 4.85344+10.6474*ii, 5.4113-5.44244*ii, 5.44504e-30-5.45023e-30*ii, 7.97975e-30+1.7665e-31*ii
2.53136+1.5989*ii, 3.91894e-34+1.46483e-34*ii, -1.16783+.813414*ii, 1.59594-1.42495*ii, .731555-.70612*ii, 1.17942-1.0374*ii, .699203+2.8605*ii, -.378037-2.49717*ii, -4.26564+.312505*ii, -2.88408e-34+7.38526e-35*ii, -1.71746e-33-5.02376e-34*ii
-4.24954+2.05185*ii, 6.65156e-22+4.31157e-21*ii, -3.50058+.230809*ii, .26837-2.78129*ii, -.834187+.108848*ii, -4.74175+.636167*ii, 5.32452-1.76494*ii, 2.81599+2.13359*ii, -1.30132-2.98147*ii, -1.66179e-21-7.46974e-21*ii, 1.19892e-20-7.59387e-21*ii
-.305305+.801615*ii, 1.4497e-23-3.22087e-23*ii, -1.75166+.16381*ii, 1.08222+.840053*ii, .521892-1.40871*ii, -1.45473+1.78346*ii, -.570969-.005197*ii, .208247-.320496*ii, -.117053-.606124*ii, -1.00588e-23+2.93967e-23*ii, -2.12194e-23-5.01686e-24*ii
-1.45856+.010503*ii, -3.85968e-24-2.95191e-24*ii, -.079695+1.29802*ii, .343941+1.44206*ii, -1.273-.406537*ii, -.0248677+.0968792*ii, 1.03734-.339529*ii, .636639+1.47918*ii, -1.59062-.834435*ii, 2.06963e-24-2.38735e-24*ii, 3.6761e-24+7.91601e-24*ii
2.12797-3.80634*ii, 3.93408e-27-3.03576e-27*ii, -.831318+3.72977*ii, -.914184+.27909*ii, 3.07573-1.94064*ii, 1.61825+2.90219*ii, 1.05335-.572927*ii, -5.56914+2.64065*ii, -.946185+2.62159*ii, 4.02611e-27+8.59844e-27*ii, 4.23615e-27+1.31859e-26*ii
.958513-.186639*ii, 1.97972e-29+1.86892e-29*ii, -1.0825+2.18715*ii, -.610358+.366518*ii, 1.70463-1.96023*ii, 1.0407+1.03437*ii, .296337+.231283*ii, .130022-2.53025*ii, -2.51788+1.58681*ii, -3.11532e-29+1.15342e-29*ii, -7.9503e-29-1.56427e-29*ii
-.510627+.790133*ii, -2.71115e-35+7.57745e-36*ii, -.83173+.810774*ii, .340671+.264045*ii, -.988514-.12361*ii, .97249+1.44302*ii, .410195-.850607*ii, 1.81509-.387231*ii, .328211+.373237*ii, 8.20293e-36-1.41419e-35*ii, -1.17265e-35-7.632e-36*ii
-.567503-.078211*ii, -6.32366e-26+1.72869e-26*ii, 1.26193+.270164*ii, .326974+1.29592*ii, -.293715+.486886*ii, -.604213-.008789*ii, .397754+.925631*ii, 2.16857+1.17229*ii, -1.08013-.008031*ii, -4.22351e-26+2.36525e-27*ii, 6.84425e-26-1.81642e-26*ii
1.81157+.401044*ii, -4.45285e-24-1.6204e-24*ii, 1.22472+.161613*ii, .411421-1.57066*ii, .588324-.540863*ii, .9274+.272424*ii, 1.32916+1.90361*ii, -.245697+.179333*ii, -1.25117-.440726*ii, -2.59581e-24-1.35209e-24*ii, 4.85713e-24+3.98989e-24*ii
2.09663-1.3815*ii, 2.94226e-32+9.56252e-33*ii, -.575633-.708463*ii, .516471+.139678*ii, .5653-3.35187*ii, 1.09012+.99911*ii, .503336+.540621*ii, -1.09519+1.02209*ii, 1.70494+1.86051*ii, -5.08097e-33-1.31747e-32*ii, 3.23725e-32+7.10446e-32*ii
-12.5128-1.76782*ii, -3.20764e-26+1.40838e-25*ii, -11.1837-6.7915*ii, 6.83985-3.34033*ii, .011946+1.46547*ii, 13.0929-.26707*ii, -1.27583+8.52797*ii, 1.99082+3.70942*ii, -11.0101+12.4654*ii, 6.57618e-25-6.78625e-25*ii, -1.40244e-24-1.95048e-24*ii
