variable ordering: d, dt, dt0, L, c, F0, F, v

component_1:
equations:
-2*d+dt0*c
dt0*F0-1
dt*c-2*L
.99*c^2*F0^2-.98*c^2*F^2-1.01*F0^2*v^2
points:
.238731+.117978*ii, -1.20084+.953116*ii, .571096+.412615*ii, -.387808+.430542*ii, .745435-.12541*ii, 1.15047-.831211*ii, -.330371-.132943*ii, -.744701+.146335*ii
.501546+4.63577*ii, .662504+4.43502*ii, -.177091-4.98309*ii, -.917294-4.09182*ii, -1.8654+.135006*ii, -.0071228+.200425*ii, .589127-.759495*ii, -4.75648+7.37032*ii
1.27168+.579283*ii, .452143+1.0026*ii, .142937-3.10796*ii, -.49355+.0208304*ii, -.33443+.83372*ii, .0147665+.321075*ii, -.922562+.248946*ii, -.510475+2.7174*ii
-.172044+.269573*ii, -3.59235+4.55307*ii, .138876+.104881*ii, -8.86027-5.92228*ii, .289253+3.66377*ii, 4.58541-3.46296*ii, 2.52905-8.12993*ii, -3.10664+4.23108*ii
.517205-.072668*ii, -.106909-.716798*ii, .113121-1.24124*ii, .282192-.11223*ii, .191449+.815922*ii, .072819+.799012*ii, .177893+.707243*ii, -.0919281+.470774*ii
.166809+.166732*ii, -.452731+.621386*ii, .563671+.818882*ii, -.078824+.164485*ii, .466582-.0862396*ii, .570348-.828583*ii, .0600137+.24597*ii, -.466448+.0713916*ii
-3.41992+1.39142*ii, -.396381+.0416289*ii, -2.28267+1.37695*ii, -.551268-.028547*ii, 2.7362+.431402*ii, -.321206-.193757*ii, .274433+.158882*ii, -1.45786-.295031*ii
.66112+.175378*ii, -.753275-1.64209*ii, 2.9051+3.27298*ii, -.23996-.148821*ii, .260508-.172759*ii, .151686-.170895*ii, 1.36999-.371127*ii, .013097-1.90283*ii
-.0872635+.260594*ii, .640236+.284599*ii, -.192094+1.20843*ii, .1313+.0867339*ii, .443055+.0739957*ii, -.128301-.807122*ii, .267925+.801081*ii, .151186+.212042*ii
-.275139-.30063*ii, -1.08656+4.29791*ii, .164809+.19914*ii, 1.37356-6.85278*ii, -3.1492+.156981*ii, 2.46651-2.9803*ii, 4.75041+.185162*ii, -3.97812+1.92755*ii
.405634-.16074*ii, -1.33736+2.60791*ii, .269488+.321498*ii, 2.13648+2.17432*ii, .655014-1.97436*ii, 1.53132-1.82685*ii, -1.69124+2.06553*ii, -.980529-.262192*ii
-.255325-.0618311*ii, 1.6382+.057389*ii, -.665273+.525131*ii, .299324+.410552*ii, .382519+.487822*ii, -.926112-.731022*ii, -.055723+1.29145*ii, .692356+.436261*ii
