variable ordering: d, dt, dt0, L, c, F0, F, v

component_1:
equations:
-4*d^2-dt^2*v^2+4*L^2
dt0*F0-1
.99*c^2*F0^2-.98*c^2*F^2-1.01*F0^2*v^2
points:
.745285-.233062*ii, 1.21179+.968154*ii, -.537813-.951666*ii, -.452033+.471692*ii, -.885847+1.03773*ii, -.450086+.796432*ii, .620992-.908915*ii, -.526576-.772063*ii
-1.61521-3.27824*ii, 1.65492+1.94336*ii, .349749+.419985*ii, -.381346-.132318*ii, .439291+2.14999*ii, 1.17086-1.40599*ii, -.246875-2.14104*ii, .71871-2.7717*ii
.569918-1.06979*ii, -.378164+.615451*ii, -.813677-1.31581*ii, -.587847+1.12453*ii, -.844526+1.03541*ii, -.339964+.54976*ii, .177908-.666334*ii, 1.03495-.156385*ii
.374377+.824225*ii, -.43871-1.97978*ii, 1.49936+.584953*ii, -1.43794-.803225*ii, -.347627-.581263*ii, .578848-.225829*ii, -1.12627+1.08403*ii, -.862142+1.33314*ii
.800075-.106362*ii, 1.19945-.654665*ii, -.442607-.975599*ii, -.800105+.413163*ii, -.556773+.772618*ii, -.385648+.850051*ii, -.20065-.965038*ii, -.950161+.45045*ii
-2.94038+4.22142*ii, -1.76804+2.51965*ii, -.379922-.0259945*ii, .742931+.513429*ii, -.396996-1.98635*ii, -2.61986+.179252*ii, -.815218+3.61786*ii, -.012146-3.39377*ii
-.323905+.719976*ii, -.653861-.250766*ii, -.718704-.631754*ii, -.325799+.716962*ii, -.415414-.109472*ii, -.784912+.689952*ii, -.864206+.582967*ii, .194106-.0900756*ii
-4.03349-.015486*ii, 2.11194+.738918*ii, -.619412+.687177*ii, .513104-.075088*ii, 1.58874+.445358*ii, -.723711-.802886*ii, -2.35668-.789911*ii, -1.15992-3.38355*ii
-.403938+.648465*ii, -.198139-.686827*ii, -.723156-.642023*ii, -.400342+.646637*ii, -.212763-.0332328*ii, -.773306+.686547*ii, -1.10515+.257256*ii, -.196444+.0977508*ii
-1.21469-.370911*ii, 1.39894+.754077*ii, -1.08706-.573177*ii, .067925+.622712*ii, .168674+.919113*ii, -.719797+.37953*ii, -.750366-1.06828*ii, -.468147-1.67264*ii
-1.08914+.331874*ii, -1.60348-1.7479*ii, -.99547-.625548*ii, -.446417+1.06264*ii, .22764-.404125*ii, -.72017+.452551*ii, -2.25352+.724112*ii, .836023+.858036*ii
-.218654-.912371*ii, -.653927-1.94588*ii, -1.00658-1.22565*ii, -.853643+1.21619*ii, .081635+.501914*ii, -.400162+.487253*ii, -1.72352-.652255*ii, .672684+1.37744*ii
-1.75245+2.1542*ii, 1.68849+.287114*ii, 1.2546+2.09473*ii, -.055078-1.76238*ii, .373597-.735653*ii, .210435-.351352*ii, -1.18301+1.2185*ii, -2.47813-2.15038*ii
-.942122+.799103*ii, -1.03781+1.24854*ii, .960885+1.20836*ii, -.262227-.656147*ii, -.473579-.44911*ii, .403153-.506983*ii, -.392902+1.75787*ii, .42766-1.66532*ii
-.995754+.407307*ii, .645221-1.81275*ii, -.844117-.60716*ii, -.495262+.573071*ii, .463673+.0732851*ii, -.780739+.561573*ii, -2.00523-.429678*ii, -.89756+.459163*ii
2.14784+4.60709*ii, -2.41437-2.39207*ii, -.173922-.325252*ii, -.74607+.111365*ii, -1.70648-2.33083*ii, -1.27848+2.3909*ii, -.662779+3.56487*ii, -1.06255+2.82566*ii
1.15956-1.6248*ii, -1.01841-.061003*ii, -.686129-1.79365*ii, -1.05009+1.42486*ii, -1.02903+1.14205*ii, -.186047+.486355*ii, .183668-.783242*ii, 1.59032+.877389*ii
.44167-.245407*ii, -.974472+1.2124*ii, -.743704-.973965*ii, -.319066+.988484*ii, -1.06523+.550858*ii, -.49524+.648573*ii, .351548+.255247*ii, 1.19004-.623397*ii
2.47453-.608759*ii, 1.10589-1.50986*ii, .636405-.929978*ii, -1.69011-.091494*ii, -1.14056+.941758*ii, .501157+.732341*ii, .463867-1.08248*ii, -1.10069+1.95648*ii
-3.36029+.458686*ii, -1.73148+1.29177*ii, -.400218+1.21184*ii, .606478+.18891*ii, .6617-.585206*ii, -.245726-.744042*ii, -2.07198+1.75091*ii, 1.46547-2.73736*ii
.622566+1.48297*ii, 1.19214+.239279*ii, 1.95098+.890622*ii, -1.09311-1.45472*ii, -.853076-.262324*ii, .424169-.193633*ii, .421313+.907402*ii, -1.99418-.601706*ii
.603262-.835472*ii, -.196517+1.79286*ii, .965595+.401643*ii, -.704205-.40315*ii, -1.08858+.79289*ii, .882878-.367236*ii, .930208+.229125*ii, .664587-1.28945*ii
-.833898-.404218*ii, -.430131-.794488*ii, .804812+.716309*ii, -.837275-.405941*ii, .130564+.0462448*ii, .693313-.617071*ii, -1.36271+.444824*ii, .151929-.106857*ii
-.787018-.619883*ii, .701915-.610594*ii, .818658+.684478*ii, -.82808-.586376*ii, .228658+.437665*ii, .718934-.601099*ii, -1.13405-.276551*ii, -.53993-.449692*ii
2.80134-.279584*ii, -1.74492-.702259*ii, .878553-1.01239*ii, -1.73526+.349163*ii, -1.89962+.24506*ii, .488957+.563444*ii, .910828+.735171*ii, .956702+2.14868*ii
.577384-.440983*ii, -1.76774-.082426*ii, .99786+.371278*ii, -1.06024-.168384*ii, -.886268+.008883*ii, .880279-.327529*ii, -.215663+1.13039*ii, 1.21828+.40547*ii
3.1625-2.7194*ii, 1.54295-2.4959*ii, .416868-.157019*ii, -1.75338-.416934*ii, -.814695+1.91281*ii, 2.10079+.791294*ii, .06967-2.43294*ii, -.653597+2.87119*ii
1.93892+.678348*ii, .452261-.913728*ii, 1.90827-.128005*ii, -1.81867-.855703*ii, -1.2822+.01934*ii, .521687+.034994*ii, .615009+.484082*ii, -1.33445+1.2514*ii
-.874979-.098369*ii, -1.37472-1.01751*ii, .819475+.772156*ii, -.849148-.290412*ii, .0523877-.351015*ii, .646394-.609069*ii, -1.5884+1.12105*ii, .648299+.219146*ii
-2.61146-1.26031*ii, -1.53187+1.0405*ii, -2.03399-.192563*ii, .719642+1.49118*ii, .581975+.579939*ii, -.487277+.0461318*ii, -1.93669+.006114*ii, 2.39086-1.97192*ii
1.06936-.102473*ii, 1.74882+.856684*ii, 1.42648+.295718*ii, -1.08652-.978416*ii, -.968487+.813901*ii, .672141-.139339*ii, .997836-.458435*ii, -1.4177-.802186*ii
-.781518-.319453*ii, -.092508-2.02272*ii, .873557+.673076*ii, -1.10377-.499948*ii, .416912-.064539*ii, .718307-.553456*ii, -1.94403+.201005*ii, -.417143+.75283*ii
-.972002-.785326*ii, -2.32237+.234845*ii, 1.19717-.184643*ii, .816745+.191641*ii, -.117765+.531126*ii, .815895+.125838*ii, 1.34604-.692475*ii, .810555-.511074*ii
-.806195+.194883*ii, .76342+3.24576*ii, .657006-.156615*ii, .0498955+.0544644*ii, -.574972-2.99419*ii, 1.44022+.343314*ii, -1.46428-.356317*ii, .498533-.0047445*ii
1.86503+2.04851*ii, -4.25082-.339518*ii, .556513+.097829*ii, 2.26708+1.95162*ii, .563441-1.31917*ii, 1.74304-.306407*ii, 1.93397-.42851*ii, -.710746-.134222*ii
.490073+1.02758*ii, 1.64918-.355551*ii, .12831+.199418*ii, -1.21035+1.44453*ii, -2.12897+1.19987*ii, 2.28184-3.54641*ii, -1.41446-.23922*ii, 2.14386-1.31892*ii
-1.40728-7.86631*ii, -4.83501-4.82447*ii, .172281-.179988*ii, -2.10274-.673057*ii, -5.55398-1.2574*ii, 2.77531+2.89945*ii, 2.77532+3.26611*ii, -1.42778+1.91891*ii
.249749-.674013*ii, -.694794+.749168*ii, -.17341-.907511*ii, .181395-.413338*ii, -.361515-.791776*ii, -.20314+1.0631*ii, -.84671-.156166*ii, -.458923-.998574*ii
20.6662+.67017*ii, 1.64367-3.32143*ii, .0392754+.0714246*ii, -15.2433+3.71023*ii, -8.82145+2.85562*ii, 5.91138-10.7502*ii, -.067108+6.86289*ii, -8.44192+1.37998*ii
1.84678+.484875*ii, -.225634-.998682*ii, 2.28158-.182674*ii, -1.20911+1.818*ii, 1.83554+1.67159*ii, .435501+.0348683*ii, -.008516-.883088*ii, 4.3324+3.41022*ii
-.300158-1.40084*ii, -2.53258+2.50043*ii, 5.41643-3.19942*ii, 5.64549-3.27681*ii, .611805+1.68748*ii, .136868+.0808466*ii, .175034+.305473*ii, 3.60741+.985777*ii
.971483+.933689*ii, .107647-.296164*ii, 1.92298-1.93865*ii, -1.01928-.917945*ii, -.617887+1.03588*ii, .257903+.260005*ii, .008768+.714271*ii, .311593+2.3269*ii
4.21719-1.38179*ii, -3.08909+1.01119*ii, 6.52949+1.05877*ii, -2.04519+3.61416*ii, -.098721-.0752502*ii, .149228-.0241976*ii, -3.4527+1.59363*ii, 1.1378-2.85523*ii
-1.1297-1.98243*ii, 1.75257-1.40334*ii, .644494+.718745*ii, .985948+1.96024*ii, .649086-2.20271*ii, .691542-.771213*ii, .67598-.822903*ii, -.690666+.198534*ii
4.59857-.460168*ii, -1.68567+2.63925*ii, 1.99333-2.48472*ii, 2.59219-.372402*ii, -1.30201-1.05707*ii, .196441+.244868*ii, .270386+.482415*ii, -1.94162+1.46954*ii
-.658015-.465207*ii, -2.26056+.823348*ii, -2.99356+.583221*ii, -.695501-1.05577*ii, -.0273484+.183253*ii, -.321834-.0627015*ii, -.015581-1.60838*ii, -.041968-.911515*ii
.500264+3.22278*ii, -.143652+3.22657*ii, .204357-.339921*ii, -.333068-3.35001*ii, 2.39689-.050273*ii, 1.29909+2.16086*ii, 1.33269+2.05272*ii, -.685648-.252309*ii
-23.4215+16.3528*ii, -8.11379-7.90594*ii, -.80329+13.4393*ii, -4.84968+19.8061*ii, -14.0983+5.35692*ii, -.0044317-.074144*ii, .0089685+.0745179*ii, 4.71061+2.19863*ii
-2.06128+.87354*ii, -.998806+.662854*ii, -3.78932-1.19872*ii, -1.7119+.415333*ii, 1.01804+.010868*ii, -.239893+.0758884*ii, -.641731+.233297*ii, .096948+2.52703*ii
.470084+1.55725*ii, 1.02827+1.09567*ii, -.092372+1.01526*ii, -.778105+2.49089*ii, .026522-4.03016*ii, -.088881-.976884*ii, -.22237+.735347*ii, -1.0369-3.18369*ii
.791969-1.88317*ii, -1.73424-2.46927*ii, -.977863-1.04799*ii, -.819173+.77331*ii, 1.07836-.981836*ii, -.475963+.510095*ii, .224002-.297203*ii, -.942961+.7913*ii
-6.74804+12.6608*ii, 2.58868-.776263*ii, .046679-.0458916*ii, 4.9067-19.8031*ii, 13.1039-2.1394*ii, 10.8937+10.7099*ii, 10.4987+16.2562*ii, 3.9088-11.1379*ii
-3.74855+3.91799*ii, 2.96544+1.16546*ii, 3.09209+4.99481*ii, -1.44228+.016276*ii, -.105152-.0385649*ii, .0896019-.144739*ii, 4.46625+2.77757*ii, -3.19951-1.18088*ii
-3.21904+2.21482*ii, 2.0399-1.23223*ii, .0258258+.211276*ii, 2.4931-2.02128*ii, .049954-2.13492*ii, .570048-4.66346*ii, .398418+2.09801*ii, .18222-1.93122*ii
-.54296+.278124*ii, -1.07068-2.20196*ii, .597016-1.45168*ii, .542991-.898333*ii, .161254-.761915*ii, .242314+.589202*ii, -.052648-.839631*ii, -.552137-.59807*ii
-35.8853+1.29742*ii, 1.29126-4.04483*ii, .0377761-.0348653*ii, 4.62661+1.72691*ii, 20.3863-10.7573*ii, 14.2949+13.1934*ii, 11.3924+7.78811*ii, 15.772-5.79185*ii
1.06788+.657313*ii, 2.13756+.57431*ii, .452809+.0451395*ii, -1.37996-.256319*ii, -.685786+.57206*ii, 2.18671-.217988*ii, -.576285+1.50661*ii, -.893767+.534028*ii
1.25993+.300527*ii, 1.61003+.161968*ii, -.348323-1.11141*ii, -2.65231-2.50036*ii, 1.20952-1.82036*ii, -.256768+.819284*ii, .76678-1.78352*ii, 3.30697+2.86353*ii
-.994115-1.95576*ii, -3.51006-1.00778*ii, -.497018-.185944*ii, 4.20642+3.75877*ii, -1.72974+2.48882*ii, -1.76496+.660308*ii, -2.33837+1.16609*ii, 2.69978+1.11724*ii
