variable ordering: d, dt, dt0, L, c, F0, F, v

component_1:
equations:
-4*d^2-dt^2*v^2+4*L^2
dt0*F0-1
dt*F-1
dt*c-2*L
.9989*c^2*F0^2-.9876*c^2*F^2-1.0057*F0^2*v^2
points:
.327298+1.59267*ii, -.238358-1.03492*ii, .613817-.994404*ii, 1.23769+.831515*ii, -2.04911+1.91992*ii, .449482+.728175*ii, -.211336+.917589*ii, -1.28273+3.24009*ii
-.250389+.432095*ii, .148164-1.22924*ii, .397392+.828422*ii, .599498-.315168*ii, .621329+.900509*ii, .47073-.981306*ii, .096651+.801864*ii, .326979+.990081*ii
.040366+.171935*ii, .363947+.772749*ii, -.226228+3.18159*ii, -.0322315-.0351907*ii, -.1067+.0331669*ii, -.0222365-.312727*ii, .498832-1.05914*ii, .0972532-.394178*ii
-.088508+1.36469*ii, .634625+.041308*ii, -.608257-.112975*ii, -.074930-1.41167*ii, -.523499-4.41474*ii, -1.58922+.295173*ii, 1.56909-.102133*ii, -1.40528-1.6415*ii
.333216-1.20689*ii, -.746488-.091706*ii, .891395+.363013*ii, .005858-.985493*ii, .304081+2.60299*ii, .962252-.391869*ii, -1.31969+.162123*ii, 2.25004+1.06631*ii
-1.42174-1.87548*ii, 1.44742-1.32835*ii, -.46635+.495576*ii, -3.65148-5.58113*ii, 1.10295-6.6996*ii, -1.00707-1.07018*ii, .375025+.344173*ii, 1.09428-6.26308*ii
.377252-.660423*ii, 2.4481-2.33847*ii, .523036+.246966*ii, -2.72713-4.07315*ii, .497073-2.85279*ii, 1.56336-.738185*ii, .213591+.204026*ii, .473491-2.87829*ii
.136567+.0578062*ii, .743186-2.10313*ii, .267752+.549001*ii, -.223923-.497696*ii, .353856-.337986*ii, .717654-1.47149*ii, .14937+.422699*ii, -.365578+.324218*ii
-1.6105+1.02597*ii, 1.72022-1.08448*ii, .134388-.571246*ii, -6.56678-1.11945*ii, -4.87626-4.37566*ii, .390229+1.65876*ii, .415989+.262252*ii, -4.68113-4.56162*ii
.004055-.562671*ii, .080092+1.60701*ii, -.986951+1.13317*ii, .416657+.442624*ii, .575281-.489878*ii, -.437062-.501814*ii, .030937-.620732*ii, .412015-.751533*ii
-.0347914-.098558*ii, -.286383-.296412*ii, 1.89634-4.94871*ii, -.00816402-.00079714*ii, .0303083-.0258027*ii, .0675194+.1762*ii, -1.68584+1.74488*ii, -.212397+.461665*ii
-.970737-.532718*ii, -.618382-.235084*ii, -.624416-.37547*ii, .95898+.322903*ii, -3.05682+.117736*ii, -1.17621+.707269*ii, -1.41293+.537139*ii, -1.14156+1.65864*ii
-.201074+.132666*ii, -.524246+3.18177*ii, -.588306-.314354*ii, 1.03225+.712569*ii, .331986-.703553*ii, -1.32227+.706536*ii, -.0504156-.305984*ii, .345277-.708699*ii
.0738259+.215126*ii, .428157+.846145*ii, -.13624+2.77789*ii, .0586615+.0517737*ii, .153288-.0610907*ii, -.0176129-.359122*ii, .476111-.940913*ii, .08888-.457751*ii
.579773+.114117*ii, .743909+3.63625*ii, .153638-.0769525*ii, -8.28071-.74009*ii, -1.28505+4.29163*ii, 5.20343+2.60624*ii, .0540014-.263961*ii, 1.2796-4.2817*ii
.232202-.255789*ii, .065331+.978796*ii, .075241+2.24271*ii, -.098584+.11609*ii, .222771+.216308*ii, .0149423-.445388*ii, .06789-1.01713*ii, .458785-.435252*ii
.0627402+.208113*ii, -1.37916+2.46365*ii, -.297108-.291511*ii, 1.35497-1.06688*ii, -1.12829-.468358*ii, -1.71489+1.68259*ii, -.173008-.309052*ii, 1.13233+.477145*ii
.417116-.126592*ii, -.130828+2.69521*ii, -.994703-.842217*ii, .750367+.521888*ii, .359395-.57426*ii, -.585545+.495782*ii, -.0179677-.370156*ii, .432337-.553873*ii
-.757452-.205889*ii, -.539479-1.01154*ii, -.098818+1.23661*ii, .698075-.217183*ii, -.238782+1.25288*ii, -.064210-.803532*ii, -.410487+.769672*ii, .496259+1.28311*ii
.545945+.883998*ii, .89534+1.1173*ii, .937613+1.10767*ii, .518118+.891333*ii, 1.42418+.213807*ii, .445199-.525946*ii, .436752-.545026*ii, -.166028-.29775*ii
-.145493-.174225*ii, -1.75275+1.91007*ii, -.442057-.187339*ii, 1.28652-.369455*ii, -.881076-.538585*ii, -1.91773+.812715*ii, -.260807-.284215*ii, .895284+.534525*ii
-.546837+1.57421*ii, 2.99931+3.66641*ii, -.406146+1.25137*ii, 3.59432+5.00192*ii, 2.59551+.162589*ii, -.234647-.722966*ii, .133669-.163399*ii, -2.63437-.076379*ii
4.85574+1.19522*ii, -3.49416-.53858*ii, 3.30076-11.4378*ii, -.169414+1.48949*ii, -.033642-.847373*ii, .023291+.0807079*ii, -.279551+.0430891*ii, -.22966+2.94067*ii
-.117872-.0671547*ii, .355918-1.98501*ii, .170424+.604509*ii, -.252389-.348033*ii, .295564-.307291*ii, .432025-1.53244*ii, .087515+.488085*ii, -.297819+.285835*ii
.0686753-.235777*ii, .247022+.891788*ii, -.592024+2.82102*ii, -.0152844-.0780582*ii, -.171404-.0132001*ii, -.071254-.339529*ii, .288474-1.04144*ii, .290654-.425699*ii
1.43862+.241348*ii, .710087+2.02671*ii, -.72001-2.04234*ii, 1.43434+.243469*ii, .655689-1.18571*ii, -.153534+.435507*ii, .153972-.439464*ii, .107914+.0208316*ii
1.58245+1.89055*ii, -1.18865-1.7455*ii, 4.57311-2.50282*ii, .706792-.719218*ii, .186232+.936663*ii, .168269+.092092*ii, -.266533+.391397*ii, .283994+2.50369*ii
.514469+.516171*ii, 2.93596-.966327*ii, .485255-.237994*ii, -2.36906-2.98455*ii, -.852329-2.31363*ii, 1.66119+.814732*ii, .307313+.101148*ii, -.827366-2.27559*ii
-.169259+.562319*ii, 1.30035+3.53495*ii, .275204+.0735242*ii, -4.49221+5.27201*ii, 1.80377+3.20513*ii, 3.39159-.906107*ii, .0916595-.249172*ii, -1.79088-3.20211*ii
1.12042+.235532*ii, -1.03168+1.39551*ii, 1.9332-1.51572*ii, -.81348+.049821*ii, .603477+.719713*ii, .320349+.251169*ii, -.342546-.463346*ii, 1.0161-.2211*ii
.0319083+.125333*ii, -.299168-.33887*ii, 1.94263-4.67883*ii, -.0114021-.00236757*ii, .0412406-.0308858*ii, .075691+.182302*ii, -1.46411+1.65841*ii, -.263442+.509578*ii
.0461944+.144974*ii, -.314229-.352845*ii, 1.86493-4.43077*ii, .0149512+.00205184*ii, -.0485765+.0414866*ii, .080699+.191728*ii, -1.40759+1.58057*ii, -.265153+.589152*ii
-2.88027+1.8483*ii, 2.5372+1.04065*ii, 1.70604+7.16806*ii, -.067867+1.28374*ii, .309489+.884991*ii, .0314237-.132029*ii, .337378-.138378*ii, -2.00048-1.60023*ii
-.257463-1.75214*ii, -1.30044+.685883*ii, -1.87129+1.74997*ii, .122742-1.01715*ii, -.793186+1.14598*ii, -.285079-.266597*ii, -.601616-.317307*ii, 2.00977+.454381*ii
-1.95291+.052415*ii, 2.22936+.633383*ii, -1.40896+5.3266*ii, -.007125-.829723*ii, -.201598-.687083*ii, -.0464117-.175461*ii, .415056-.117921*ii, -.542774-1.74931*ii
-1.52374+.614539*ii, .165675-1.29611*ii, -.996191+.860554*ii, -.729775+1.47434*ii, -2.38009-.821869*ii, -.574853-.496583*ii, .097037+.759138*ii, -2.89128+.25595*ii
.0108438-.414016*ii, -.060287-1.52016*ii, .182652+.572199*ii, .291726-.997138*ii, 1.29463+.435154*ii, .50628-1.58603*ii, -.026048+.656794*ii, 1.18474+.459094*ii
.926331+1.79115*ii, 2.90546+4.14788*ii, -.428104-1.76044*ii, 4.12394+3.75458*ii, 2.14886-.483246*ii, -.130424+.536324*ii, .113288-.161732*ii, -2.02016+.555524*ii
.455561+1.5129*ii, 1.41268-.867123*ii, 1.82161-.700254*ii, -.618041-1.20145*ii, .122806-1.62557*ii, .478286+.18386*ii, .514157+.315597*ii, -1.00658-.692512*ii
-.0437279-.10618*ii, -.293457-.300008*ii, 1.83097-4.78174*ii, .00949018+.00038081*ii, -.0329228+.0310623*ii, .0698378+.182388*ii, -1.66622+1.70341*ii, -.206637+.508057*ii
-5.58604+2.49535*ii, -.834482+3.79142*ii, 2.74593-1.15383*ii, -1.60063+7.90211*ii, 4.15307-.069739*ii, .309525+.130061*ii, -.0553694-.251567*ii, -4.61982+1.09072*ii
