variable ordering: d, dt, dt0, L, c, F0, F, v

component_1:
equations:
-4*d^2-dt^2*v^2+4*L^2
dt0*F0-1
dt*c-2*L
.9989*c^2*F0^2-.9876*c^2*F^2-1.0057*F0^2*v^2
points:
-.126842-.0664536*ii, -1.31661+1.88696*ii, -.279797+.658546*ii, 1.34628-2.32601*ii, -2.32773+.197228*ii, -.546511-1.2863*ii, -.126455+.0555942*ii, -2.331+.197784*ii
-1.88365+.06278*ii, 1.5838-.186973*ii, 2.49605+.773151*ii, .247618-.0940198*ii, .322213-.0806884*ii, .365559-.113232*ii, 2.74664+.080306*ii, -.211562+2.33556*ii
-.11868-.0988891*ii, .681722-.140097*ii, -.471337-.928034*ii, -.275798+.0545516*ii, -.807893-.005986*ii, -.435051+.856589*ii, .523371-.106092*ii, .841531-.108421*ii
-.233703+.434934*ii, -1.44121+1.96741*ii, -.258203+.592608*ii, 1.48255-2.56581*ii, -2.41591+.262643*ii, -.617927-1.41822*ii, -.09879-.203619*ii, -2.38243+.256879*ii
1.10424+1.94307*ii, -1.73715+.726478*ii, .431952-.41622*ii, 1.05661+1.92129*ii, -.248045-2.31573*ii, 1.20046+1.15674*ii, -1.2473-1.16848*ii, -.464981+.213099*ii
5.67967+1.12979*ii, 1.52745-2.46692*ii, -.730525-2.57931*ii, -.723344-.801373*ii, .207169-.714707*ii, -.101652+.35891*ii, -.719411-1.88668*ii, 3.69701-1.4546*ii
-8.43076-9.66878*ii, -1.58926-5.48466*ii, -.671366+1.47139*ii, -.234344+1.41713*ii, -.453888-.216975*ii, -.256666-.562518*ii, 5.38277+1.44176*ii, -1.921-4.06776*ii
-4.65409-2.82783*ii, -1.59594+1.1831*ii, 2.51382+4.05612*ii, -.269596+.356824*ii, .43196-.126946*ii, .110394-.178123*ii, 2.31454+1.12885*ii, -5.09539+2.07196*ii
-4.30801-1.14493*ii, -1.49311-2.96913*ii, .000760+1.64579*ii, .436331-.595609*ii, .202252+.39562*ii, .000281-.60761*ii, 3.44889-1.34552*ii, -2.01042-1.81671*ii
-2.48598-2.77178*ii, -1.34703+1.06023*ii, .433042+3.43192*ii, .096660-.580241*ii, -.507316+.462209*ii, .0361906-.286816*ii, 1.28641+1.32472*ii, -4.34381+.332428*ii
-.453073-1.90613*ii, -1.30208-.038718*ii, 1.63137-1.76041*ii, .515506+1.95065*ii, -.880131-2.97003*ii, .283204+.305605*ii, -.26892-.305263*ii, .498382+.685868*ii
-.12199+.624093*ii, -.617524-.838674*ii, -.408661-1.09083*ii, -.158872+.399873*ii, -.437455-.700968*ii, -.301171+.803907*ii, .219741-1.25942*ii, .598242-.729266*ii
-2.53497-2.05089*ii, -1.27762-.037452*ii, -1.3732-4.17634*ii, 2.38098+1.59917*ii, -3.79734-2.39204*ii, -.0710491+.216083*ii, -.103016+.239027*ii, 2.11369-1.63921*ii
-.044228+4.1899*ii, .331567+2.25481*ii, 2.90347-.025161*ii, .966744-.359709*ii, -.188882-.885271*ii, .344389+.0029844*ii, .517566-1.31373*ii, -.514138+3.72503*ii
.54385-.808015*ii, -.480556+.686607*ii, -1.62283-.780697*ii, .507504-.689894*ii, -2.0433-.048190*ii, -.5004+.240728*ii, -.560682+.299368*ii, -.17567-1.12124*ii
-2.45705-2.38779*ii, 2.99067-2.9084*ii, 1.02688+.150575*ii, .683801+.308736*ii, .131828+.334668*ii, .953327-.13979*ii, 4.34976+.88859*ii, 1.61231-.019867*ii
-1.64787+3.79842*ii, -.679363-3.25221*ii, -.93568-1.39941*ii, .27378-.523371*ii, .274698+.225748*ii, -.330179+.49382*ii, 2.07581-3.65331*ii, 1.42098-2.01694*ii
-2.20598+4.45764*ii, -4.7461-.536166*ii, -.241197-.147979*ii, -3.36098-.317087*ii, 1.41337-.026048*ii, -3.01218+1.84803*ii, -.972021-5.16938*ii, -2.37768-.567974*ii
2.23846-.744752*ii, -.648596+2.07905*ii, .301865+1.08283*ii, 1.01103-1.44663*ii, -1.5447-.49069*ii, .238884-.85691*ii, -.949272+.732907*ii, -2.03855+.71959*ii
-.298173+2.87008*ii, 2.14405-1.29155*ii, 1.52573-.750337*ii, .530485-.279981*ii, .478527+.0270875*ii, .527779+.259557*ii, 2.47113-1.43043*ii, 1.88447+1.36266*ii
.0860594+.0732195*ii, .64682-.015393*ii, -.474528-.929046*ii, -.265465+.0004102*ii, -.820396-.018255*ii, -.436026+.853665*ii, .382342-.149854*ii, .813677-.05608*ii
1.48839-1.39406*ii, 1.23471-3.00963*ii, .597831+.644947*ii, .249693-.989817*ii, .621275-.088951*ii, .773032-.833956*ii, 2.21945-.570303*ii, .633498-1.02553*ii
2.92309-3.17928*ii, -1.97526-1.05016*ii, .800083+4.2154*ii, -2.12117-.851141*ii, 2.03166-.218344*ii, .0434597-.228977*ii, -.379427-.231998*ii, -4.2037-.759483*ii
-4.3476-5.26358*ii, -6.92126+1.35942*ii, -.0680721-.0593242*ii, -13.5301+4.38648*ii, 4.00421-.481061*ii, -8.34916+7.27621*ii, -4.79166-2.53687*ii, -4.30226+.812498*ii
-2.37761+.074745*ii, -1.25921+.200596*ii, -2.32685-1.91075*ii, 1.98994-.078631*ii, -3.10181-.369238*ii, -.256679+.210778*ii, .310704-.250953*ii, .295889-2.02012*ii
