variable ordering: d, dt, dt0, L, c, F0, F, v

component_1:
equations:
-4*d^2-dt^2*v^2+4*L^2
dt0*F0-1
.9989*c^2*F0^2-.9876*c^2*F^2-1.0057*F0^2*v^2
points:
-1.5311-.70959*ii, -2.57864+1.13855*ii, .234783-.292814*ii, -1.49296-.138097*ii, .881203-.216709*ii, 1.66675+2.07872*ii, .562683-.735906*ii, .918076-.250412*ii
.594018-.312741*ii, .795613+1.51348*ii, .925453+.81018*ii, -.59693+.306167*ii, -1.96709-.473307*ii, .611726-.535531*ii, .61641-.538008*ii, .0841085-.0782843*ii
-.694586+.222735*ii, .515503+.967424*ii, .70242+.426429*ii, -.562843+.160268*ii, -.802571-.015130*ii, 1.04026-.631527*ii, .161855-.526304*ii, .792944+.095917*ii
-2.92227-.170237*ii, -.427487-.886725*ii, 2.02612+5.19835*ii, -1.9011+1.18419*ii, -.784675-.583882*ii, .0650901-.166999*ii, .917064+.555473*ii, 4.05899+4.24682*ii
-3.38246+.388611*ii, -.634797-2.05468*ii, 1.51608-.837489*ii, -.287268-.480455*ii, 1.68334+2.45105*ii, .50538+.279175*ii, -.431549-.578768*ii, 3.14594+.557186*ii
-4.71163+5.21861*ii, 7.52443+5.13601*ii, .0600862+.0734723*ii, 1.71448+2.04255*ii, -1.56551-.266564*ii, 6.66992-8.15586*ii, -2.80546-1.488*ii, 1.6282+.250536*ii
-.511732+.070368*ii, -.169703+.488738*ii, 1.58705-.387743*ii, -.343594+.0415818*ii, -.699972+.558571*ii, .594608+.145273*ii, .424478-.726593*ii, 1.31255-.690104*ii
.733162+.768268*ii, -.988093-.380482*ii, -.454364-3.24389*ii, -.055275-1.53013*ii, 1.26498+.849168*ii, -.0423483+.302341*ii, -.292335-.540973*ii, -.500784-2.93093*ii
4.8484-8.06211*ii, -11.2282-4.83222*ii, -.0356585-.0648423*ii, -4.52935-3.23511*ii, 1.69316+.318232*ii, -6.51172+11.8411*ii, 4.32317+.699468*ii, -1.7648-.27653*ii
-7.01233-6.98991*ii, 2.73206+2.05731*ii, .161382-.058791*ii, -.965271+.883104*ii, -1.46919+5.16119*ii, 5.47046+1.99287*ii, -.775734-3.41216*ii, -.810051+5.78372*ii
2.69383-2.79206*ii, .833122+1.53087*ii, -3.94896+2.0885*ii, -2.18349-1.08462*ii, -1.63142-1.87664*ii, -.197882-.104655*ii, .373145+.349937*ii, -4.77099+1.96077*ii
1.48695-1.03746*ii, 1.78583+2.22337*ii, .579846+.712513*ii, -.450358+.317276*ii, -3.00992-.486001*ii, .687106-.844314*ii, .648294-.769135*ii, -1.20865-.082279*ii
.872656-1.47402*ii, -2.5518+2.09496*ii, .138559-.347533*ii, -1.56153-.201633*ii, -.569457-1.05793*ii, .989864+2.48277*ii, 1.22247-.766652*ii, -.687617-1.16329*ii
-.880664+.677011*ii, -.498721+.246167*ii, 1.65905+2.30024*ii, -1.09475+.590123*ii, -.810875-.800393*ii, .206259-.285974*ii, .771108+.10511*ii, 2.47251+.947958*ii
-1.94531+.882074*ii, -2.00928-2.86615*ii, -.945979-.794267*ii, -1.07058-1.60752*ii, 3.24145+1.1161*ii, -.620015+.52058*ii, -.584621+.433092*ii, 1.6243+.184319*ii
2.84441+3.32548*ii, -2.39056-1.33962*ii, -.385222+.0984487*ii, -.970207-1.34506*ii, 1.31005-2.40054*ii, -2.43675-.622746*ii, .588779+1.46863*ii, .983213-2.79138*ii
-5.83255-2.48526*ii, -1.49382-2.55324*ii, .207908-.303191*ii, -1.33222-.702994*ii, 2.76339+3.7396*ii, 1.53834+2.24336*ii, -.648632-1.00966*ii, 2.49947+3.3323*ii
-2.76812+1.25467*ii, -.513342-1.02547*ii, 4.49699+1.26994*ii, -.150375+1.03265*ii, -.547393+1.23772*ii, .205947-.0581592*ii, .742114-.490876*ii, 5.42153+.486222*ii
4.28922-2.33046*ii, .912824+1.00395*ii, -6.03257-5.04909*ii, -.494031-3.4583*ii, .653996+.517632*ii, -.09748+.081588*ii, -1.11591-.699732*ii, -8.05041-3.0158*ii
.972432+.848153*ii, -1.62692-.481741*ii, -2.40844-1.57396*ii, -1.08478-1.8115*ii, 2.01425-.651141*ii, -.290947+.190139*ii, -.347454+.331403*ii, -1.33035-1.66168*ii
