variable ordering: d, dt, dt0, L, c, F0, F, v

component_1:
equations:
-2*d+dt0*c
dt*c-2*L
.9989*c^2*F0^2-.9976*c^2*F^2-1.0057*F0^2*v^2
points:
-.357828-.23724*ii, -.303996+1.3435*ii, .673983-.507962*ii, .695934-.081772*ii, -.338802-.959342*ii, -.188951+.517105*ii, .251344+.549805*ii, .130174-1.25792*ii
-1.03213+4.9889*ii, .166465-.466556*ii, 1.68467+2.39075*ii, .791286-.34413*ii, 2.38219+2.54207*ii, -1.00239+2.94016*ii, .816115-3.18256*ii, .465331-1.48711*ii
-1.36663-.447826*ii, -2.43161+.464489*ii, -3.09769+2.05458*ii, -.724128-.626896*ii, .4796+.607236*ii, -4.08938-.501077*ii, .785937+1.79877*ii, .562257+.595035*ii
-1.89991-.243631*ii, -1.15152+2.17942*ii, 1.2774-2.6729*ii, 1.57139+.266173*ii, -.404677-1.22821*ii, .358467-.684317*ii, 1.28502+1.37279*ii, -.095992-3.34168*ii
-2.3179-3.49988*ii, .568922-.419722*ii, .780407+2.91113*ii, -.565835+.805908*ii, -2.64154+.884307*ii, -.6966+1.49641*ii, .455673+2.00769*ii, 3.40975+.941602*ii
.498001+.380711*ii, -.17071-1.50004*ii, 1.35041-.376817*ii, .489605-.464687*ii, .538305+.714051*ii, .964479+.227013*ii, -1.49442-.29109*ii, .786931-.680791*ii
-.163548+.25121*ii, .135356+1.57787*ii, -.270687-.492385*ii, .708259-.46061*ii, -.503123-.940899*ii, -.716365+.418964*ii, .428079+.112963*ii, -.63851-.87689*ii
-.134048+.179632*ii, -.705036-.855566*ii, .186217+.494061*ii, .144596-.447859*ii, .457627+.715124*ii, -.495033+.215032*ii, -.726925+.232534*ii, .802325-.313454*ii
4.75618-6.79271*ii, .575941-1.47009*ii, 1.86451+4.67873*ii, -2.54384+.535107*ii, -1.80655-2.75303*ii, 1.02563+3.12042*ii, -4.77103+2.60273*ii, 4.12706+4.76057*ii
.235701-.428456*ii, .411605+.589485*ii, .105883+1.39254*ii, -.0077333-.251629*ii, -.586231-.383095*ii, -.787906+1.4089*ii, -.233547+.0778996*ii, .588075+.374648*ii
.719298-2.14234*ii, -3.12873-3.43094*ii, -2.92853-4.66791*ii, .274905-1.88429*ii, .519916+.63437*ii, .121804-5.83204*ii, -3.07516+3.08218*ii, -.702269-.506973*ii
1.3067+.898662*ii, -.0262421-.0660132*ii, 1.98378+2.00719*ii, -.0214476-.0336693*ii, 1.10394-.210953*ii, .091991+2.59371*ii, -1.11884-.936408*ii, 1.16307-.04818*ii
-.126185-.838831*ii, -.796312-.356447*ii, 1.15895-.148231*ii, -.245947+.583711*ii, -.032086-1.45167*ii, .141061-3.04804*ii, -1.042-1.48392*ii, .223335-1.41004*ii
1.29919+1.20584*ii, .789636+.399136*ii, 2.66771+.292658*ii, .261477+.522621*ii, 1.06042+.787691*ii, 1.64088+4.06599*ii, 1.10282+4.45588*ii, -.7123+.166881*ii
2.98692-.535941*ii, -2.21957+1.41552*ii, 1.46986-.728241*ii, -4.67325+1.37042*ii, 3.55329+1.03123*ii, -1.65031+.631927*ii, -1.64446+.603949*ii, -.655871+.130874*ii
.0567087-.0387646*ii, .138395+.380825*ii, 1.43742-.177836*ii, .0141169+.0130384*ii, .084286-.0435085*ii, -.117397-.0478643*ii, .104047-.907255*ii, .504541-.464919*ii
