variable ordering: d, dt, dt0, L, c, F0, F, v

component_1:
equations:
-2*d+dt0*c
dt*F-1
.9989*c^2*F0^2-.9876*c^2*F^2-1.0057*F0^2*v^2
points:
-.589498+1.49264*ii, -1.77291-1.1391*ii, -.142349+1.46847*ii, 1.58613+1.47431*ii, 2.0911+.600169*ii, -.413189+.255333*ii, -.399236+.256511*ii, -.476173-.287641*ii
-.831654-1.09125*ii, .990552+.395937*ii, -2.62665+.527772*ii, -1.67808+.891439*ii, .448195+.920957*ii, -.375459-2.0703*ii, .870463-.347936*ii, .517992+.982055*ii
-8.54043+8.29342*ii, -6.88131-7.43727*ii, .24892+3.3866*ii, 7.82763+8.99588*ii, 4.50274+5.37462*ii, -3.3032+2.41533*ii, -.0670266+.0724418*ii, -4.48572-5.35547*ii
-4.95153+.045664*ii, .167505-1.07185*ii, 3.27407-1.93662*ii, -.332346+3.24678*ii, -2.25294-1.30473*ii, -.398771+.368825*ii, .142326+.910726*ii, -2.66108-3.93833*ii
.0166331-.0361891*ii, -.498218-.787821*ii, .34702-.425026*ii, .140206+.766885*ii, .140521-.0364623*ii, .534358+.096671*ii, -.5734+.906706*ii, -.310819-.0172948*ii
-.564016-.568945*ii, -.333223-1.36443*ii, -1.20799+.354405*ii, -.340702+1.47916*ii, .605345+1.11957*ii, .107008-.687945*ii, -.168918+.691656*ii, .518012+.124462*ii
-3.85553-.445556*ii, 1.79419+.708512*ii, 2.18206-1.46817*ii, -1.63767+2.01334*ii, -2.24344-1.91786*ii, -.739741-.545594*ii, .482165-.190403*ii, -2.1511-2.3482*ii
-.583814+.464871*ii, -.39184-.763162*ii, 1.02824-1.53047*ii, .31144+.970547*ii, -.771719-.244445*ii, .70813+.392437*ii, -.532424+1.03697*ii, -1.35155-.396623*ii
.237581+.0952374*ii, -.384977-.817687*ii, -.1738-1.08188*ii, .089091+.644586*ii, -.24041+.400579*ii, .820781-.035557*ii, -.471312+1.00106*ii, -.556149+.482508*ii
-5.97225-7.75583*ii, .101031-.279283*ii, 4.60798-.578858*ii, -4.25894+2.71367*ii, -2.13556-3.63453*ii, .533567-1.69113*ii, 1.1454+3.16624*ii, 1.88766-7.56038*ii
-10.1223+5.51686*ii, .0956921+.143547*ii, -2.79744+5.13697*ii, 1.47641+6.77517*ii, 3.31187+2.1374*ii, -6.2339-2.40378*ii, 3.21517-4.82305*ii, -4.02878-3.17023*ii
-.0302626+.432715*ii, .534302+1.32183*ii, -.60666+.582096*ii, -.478724+.0166021*ii, .76461-.692898*ii, -.398702-.870559*ii, .262851-.650279*ii, -.622195+.915226*ii
2.27056+1.81639*ii, -1.93224+2.24909*ii, .600432+1.56845*ii, 1.77784-1.74272*ii, 2.98681-1.75188*ii, .258364+.245738*ii, -.219773-.255813*ii, -.887388+1.36048*ii
1.15659+.243786*ii, .011051+2.2194*ii, .407304+.92594*ii, -.176048-1.13585*ii, 1.36195-1.8991*ii, -.0246085-.494212*ii, .0022435-.450561*ii, -.408342+.974177*ii
-1.40035+1.4693*ii, 1.15459+1.28533*ii, .549716-2.14234*ii, -.378409+.558704*ii, -1.60167-.896331*ii, -.0076919-.366314*ii, .386779-.430575*ii, -2.93204+.326419*ii
-1.5387+3.62091*ii, .757255+1.22942*ii, .703687-3.48357*ii, .879169+.657813*ii, -2.1688-.445303*ii, .179317+.277598*ii, .363207-.589676*ii, -4.88215+.813657*ii
