variable ordering: d, dt, dt0, L, c, F0, F, v

component_1:
equations:
-4*d^2-dt^2*v^2+4*L^2
dt*F-1
dt*c-2*L
10.0001*c^2*F0^2-1000.3*c^2*F^2-1000.08*F0^2*v^2
points:
.545331+.50471*ii, -1.90466-1.71647*ii, -.099933+4.09772*ii, .554146+.50165*ii, -.583062-.001307*ii, -.011642+2.63784*ii, -.289726+.2611*ii, .0793721-.0464991*ii
.358317+.229074*ii, -.14504-.937339*ii, .461279-.836323*ii, -.0700205-.273719*ii, .592955-.057651*ii, -.61016+.298241*ii, -.16122+1.0419*ii, .808139+.451291*ii
.371728-.627504*ii, .948188-.159652*ii, -1.623-1.59402*ii, .413853-.516198*ii, 1.02714-.915863*ii, -1.27569-1.09835*ii, 1.02557+.172681*ii, .810696+.239137*ii
-.373656-.650228*ii, .388514+1.12242*ii, .693809-.763643*ii, .121554+.633061*ii, 1.07429+.155263*ii, .808578-.439287*ii, .275393-.795611*ii, .562427+.818031*ii
.724837-.284295*ii, 1.13724+.761223*ii, -.710546+.379857*ii, .77936-.485041*ii, .552223-1.22265*ii, -.282458-1.10692*ii, .607249-.40647*ii, -.079380+.862761*ii
1.71613-3.69018*ii, -4.95511-3.44342*ii, 7.24543+10.8046*ii, 8.59939-3.53126*ii, -1.67268+2.58768*ii, .107646+.12675*ii, -.136091+.0945729*ii, 1.91562-2.41969*ii
-.108008+.304683*ii, -1.8055-.895416*ii, 1.26224+2.35468*ii, .103652-.314236*ii, .0463998+.325077*ii, .067891+2.10125*ii, -.44453+.22046*ii, -.040114-.0717952*ii
1.59381-4.03575*ii, -5.11292-3.37188*ii, 8.10642+10.7178*ii, 8.8193-4.32065*ii, -1.62743+2.76335*ii, -.103348-.127358*ii, -.136303+.0898891*ii, 1.8902-2.59272*ii
-1.18038+.173268*ii, -1.22897+1.06809*ii, 2.242-.607929*ii, -1.13125+.145184*ii, 1.16577+.776898*ii, 1.14949+1.44345*ii, -.463556-.402874*ii, -.168643+.413303*ii
.893365-6.65003*ii, -2.7485+4.11086*ii, 24.4559+.7146*ii, -4.73064-13.6449*ii, -3.52425+4.65783*ii, -.190336+.101505*ii, -.112397-.16811*ii, -2.87562+4.69626*ii
-.38818+.124132*ii, -.107716+.477471*ii, -.11319+4.61374*ii, .236028-.0648687*ii, -.470796-.882448*ii, .240083+1.50939*ii, -.449603-1.99294*ii, -1.13355+.702184*ii
.761893+.560445*ii, -2.09893-1.54302*ii, .208873+4.77181*ii, .774403+.559689*ii, -.733533+.005944*ii, .350251+2.73448*ii, -.309284+.227369*ii, -.111366+.0405399*ii
-.118701+.004566*ii, -.064533-.971072*ii, .249157-1.94836*ii, -.013093-.526725*ii, 1.08185+.044929*ii, -1.00503-.06746*ii, -.068134+1.02526*ii, 1.10902+.045327*ii
2.00939-1.18175*ii, 1.42209-.43939*ii, 1.33753+.743158*ii, -.949824+.185988*ii, -1.29318-.137989*ii, -.228446-.192126*ii, .64191+.198334*ii, .847725+2.79999*ii
2.60661-1.4671*ii, 1.35952-.414316*ii, 2.37166+1.54775*ii, -1.31494+.579659*ii, -2.00782+.240856*ii, .349907+.156992*ii, .673047+.205112*ii, .901194+3.59384*ii
.681657+.542224*ii, .682686-1.13853*ii, -2.18024-.109488*ii, -.76367-.553869*ii, .123982-1.41585*ii, -1.80304+.545086*ii, .387384+.646045*ii, .084499+.577853*ii
-1.01889-.528179*ii, .862433+.598005*ii, -2.32505-2.8668*ii, 1.2318+.477196*ii, 2.44726-.590286*ii, -.547352-1.64909*ii, .783033-.542949*ii, 1.21925-.688*ii
-2.55065+.977011*ii, -1.67576+1.27014*ii, .338192-3.30852*ii, -2.555+.932188*ii, 2.47232+.761335*ii, .94655+2.28761*ii, -.379009-.28727*ii, -.167839-.440351*ii
.105606+.220556*ii, .113694+1.18384*ii, -.012930+1.47025*ii, .457174+.323115*ii, .614387-.713353*ii, .86896+.16351*ii, .080383-.83699*ii, -.524337+.731776*ii
-.138304+1.5134*ii, .68738-.402741*ii, -5.84327-1.65351*ii, .035948-1.43506*ii, 1.89909-3.06276*ii, -2.86199-.251647*ii, 1.08301+.634546*ii, -.812959-1.31849*ii
-.133199+.169125*ii, -.876869-.490524*ii, 2.60889+.59589*ii, .0130014-.371429*ii, .33837+.657886*ii, .338933+.96647*ii, -.868606+.485901*ii, .434999+.576973*ii
-4.77733-5.20466*ii, -1.78364+.93048*ii, 12.7071-10.7575*ii, -4.96224-4.40667*ii, 2.34758+6.1659*ii, -.974894+.062678*ii, -.440714-.22991*ii, 3.2629+.656919*ii
.483695+.0512092*ii, -.523863-.716956*ii, 2.51898+.270451*ii, .172799-.216434*ii, .163992+.60186*ii, .282501+.520752*ii, -.664414+.909313*ii, .771604+.901951*ii
-.079249+.282459*ii, -1.53197-.83884*ii, 1.38881+1.96414*ii, .0696957-.295322*ii, .0924131+.334945*ii, .068563+1.83228*ii, -.502189+.274977*ii, .0716327+.0860502*ii
1.3176-6.28864*ii, -2.85903+3.91778*ii, 23.4087+2.12224*ii, -3.37179-12.9878*ii, -3.50664+4.28027*ii, .191254-.110725*ii, -.121542-.166551*ii, -2.8537+4.33735*ii
.380209-.426723*ii, -.0615814+.499226*ii, 1.06243+5.54286*ii, .202033-.291696*ii, -1.24943-.655266*ii, .483071+1.46994*ii, -.243387-1.97308*ii, -1.13529+1.40691*ii
-.511394-4.88918*ii, -1.77392+.892938*ii, 14.0405-1.27909*ii, -1.29119-4.5903*ii, -.917004+4.71374*ii, .807361-.251691*ii, -.449762-.226397*ii, 1.60477+2.36584*ii
.0057706-.365372*ii, .151134+.896894*ii, .428046+1.59881*ii, .205199+.0981035*ii, .287699-.409097*ii, .535042+.280496*ii, .182692-1.08417*ii, -.267498+.871294*ii
.121807+.752201*ii, -.218959+.145141*ii, .248828-.742685*ii, -.0084286+.463936*ii, 2.00501-2.9086*ii, 1.84831+2.15008*ii, -3.17291-2.10322*ii, -4.48195-1.51876*ii
-1.5239-.0613*ii, -1.44557-.524268*ii, -.38528-.519379*ii, 1.00935+.115236*ii, -1.28525+.306692*ii, .560715-.124104*ii, -.611357+.221722*ii, .532634+1.39241*ii
-.08433-.198478*ii, 1.04403+.018738*ii, .495291-1.98822*ii, -.180843-.380735*ii, -.359407-.722907*ii, -.003376-1.12139*ii, .957519-.017185*ii, -.318187-.617024*ii
