variable ordering: d, dt, dt0, L, c, F0, F, v

component_1:
equations:
-2*d+dt0*c
-4*d^2-dt^2*v^2+4*L^2
dt*c-2*L
10.0001*c^2*F0^2-1000.3*c^2*F^2-1000.08*F0^2*v^2
points:
1.19525e-22+1.87037e-23*ii, -2.13932-.697977*ii, 1.27445+3.66328*ii, 1.19422e-22+1.327e-22*ii, -8.1136e-22-3.53154e-20*ii, .353156+.68093*ii, 3.5154-2.64849*ii, -1.41795e-19-1.45699e-20*ii
3.54065e-16-4.70583e-17*ii, -.0255551+.380385*ii, .281601-.350427*ii, -2.23281e-16+2.04688e-16*ii, 1.14989e-15+1.09672e-15*ii, -1.38036+.134872*ii, .946255-2.06837*ii, 1.07141e-15+1.80817e-16*ii
5.32568e-18+9.85938e-18*ii, .275205-4.35861*ii, .517991-2.01413*ii, 1.48685e-17+1.82397e-17*ii, -7.90717e-18+7.32186e-18*ii, -3.04266-.896867*ii, -.877809+1.95159*ii, -1.21665e-17-1.08001e-18*ii
7.24821e-16-5.11228e-16*ii, 1.12596+.436426*ii, .179792-1.3227*ii, 2.97334e-16+7.45273e-16*ii, 9.05253e-16+9.72923e-16*ii, -.350932-.771197*ii, -.786948+.791848*ii, 1.52334e-15+1.0859e-15*ii
-1.48511e-12+3.04529e-13*ii, -1.05782+1.29447*ii, .976226-2.95798*ii, 8.02688e-13+1.32919e-13*ii, -4.84527e-13-8.44232e-13*ii, 1.37505-.407557*ii, 2.95177-.642048*ii, 1.37334e-12-1.74163e-12*ii
1.50709e-17+9.81883e-18*ii, -1.0165+1.97992*ii, -.828243-.934845*ii, 6.55504e-18-3.13753e-17*ii, -2.77725e-17+7.63706e-18*ii, 2.88483-.141889*ii, -.651515+1.36624*ii, 2.02264e-17+2.92185e-18*ii
3.90215e-17-1.3688e-16*ii, .958396+.389642*ii, -.368904-2.4377*ii, 4.10063e-17+4.34262e-17*ii, 1.05052e-16+4.79129e-17*ii, .179807+1.58073*ii, -2.52098-.239241*ii, -1.06226e-16-1.06183e-16*ii
-2.12079e-17+5.04e-21*ii, 1.52564+.075962*ii, .609077+.366234*ii, -4.01789e-17+2.1527e-17*ii, -5.11398e-17+3.07666e-17*ii, -.531198+.821487*ii, -1.43722-1.20043*ii, 2.54702e-17-4.27864e-17*ii
4.21244e-17+8.54616e-17*ii, 1.61483-.254971*ii, 3.95156+.536705*ii, 2.66121e-17+2.85919e-17*ii, 2.67027e-17+3.96279e-17*ii, -2.48192-1.88351*ii, .478406+.868967*ii, 1.86344e-18+1.96909e-17*ii
2.3112e-19-1.70921e-18*ii, -.650691-.729678*ii, -.321996+.120252*ii, 4.76943e-18-1.14906e-18*ii, -4.73931e-18+8.84641e-18*ii, .373373-.682911*ii, .849363+2.39121*ii, -1.90359e-17-1.45596e-17*ii
-3.00859e-16+7.06728e-17*ii, 1.54788+1.43334*ii, 1.42658-.784074*ii, -2.10013e-16-3.41031e-16*ii, -3.65759e-16-1.01948e-16*ii, -.820268-.85678*ii, .522401-.564514*ii, -4.29489e-16-1.74639e-16*ii
4.04206e-17-3.10801e-17*ii, .276174-.354636*ii, -.154263+.482186*ii, -4.32013e-17+1.35287e-17*ii, -1.65601e-16-1.14676e-16*ii, -2.44194-1.50201*ii, -1.43073+.567233*ii, -7.41625e-17-9.38029e-17*ii
5.60482e-17+1.58411e-16*ii, -1.48431-3.30484*ii, 1.96195+.913852*ii, 1.02416e-16-2.61962e-16*ii, 1.08757e-16+1.10826e-16*ii, -1.572-2.79115*ii, .888185-7.48935*ii, 3.8739e-16+5.28823e-16*ii
1.63558e-16-3.15172e-17*ii, -1.71023-.197132*ii, -2.92586-2.9476*ii, 4.48002e-17-5.25358e-17*ii, -4.47152e-17+6.65913e-17*ii, .028136+3.86926*ii, -2.58761-2.57159*ii, 1.06541e-16-1.30282e-17*ii
2.89293e-17-1.61641e-16*ii, 1.57936+2.59815*ii, 2.02125-2.91353*ii, 1.1659e-16+7.89423e-17*ii, 8.4208e-17-3.85602e-17*ii, -.193474+.18646*ii, 1.74848-.800908*ii, 9.26202e-17-8.10122e-17*ii
-3.32649e-17-1.15443e-16*ii, 4.89823+7.01318*ii, 7.77244+1.16117*ii, 6.63674e-17-1.12683e-16*ii, -1.27138e-17-2.78063e-17*ii, 6.82042+7.09027*ii, 2.02591+2.24328*ii, 3.24485e-18-1.93167e-17*ii
-1.70392e-16-1.29881e-16*ii, .898391-.210182*ii, -.843688-2.02987*ii, 6.54653e-17-6.1652e-17*ii, 1.6862e-16-9.78006e-17*ii, 1.21309+.553057*ii, .500241-2.09263*ii, -2.1555e-16+1.76964e-17*ii
4.50997e-16+3.77608e-16*ii, -2.89706+.669096*ii, -.846067-1.49664*ii, 8.47439e-16-5.62746e-16*ii, -6.40591e-16+2.40546e-16*ii, .309052+1.81119*ii, -3.87697-3.62852*ii, -2.95795e-16+1.71055e-15*ii
-6.4987e-15-2.99223e-15*ii, -.907982-.316246*ii, .283463-2.32235*ii, -1.76811e-15+2.34918e-15*ii, 1.86598e-15-5.82442e-15*ii, -.576431-2.22892*ii, 1.44729-1.20573*ii, -1.48437e-15-5.00457e-15*ii
-1.94478e-16+4.44574e-17*ii, -2.05622-2.0837*ii, -2.02426+1.52223*ii, -8.09528e-17-2.15904e-16*ii, 1.43838e-16+6.42407e-17*ii, .686947+2.39483*ii, 2.35734-.300387*ii, -1.77071e-16-1.25265e-16*ii
5.99916e-18+2.30157e-17*ii, .869143-.805408*ii, 2.68606-2.00038*ii, 2.98196e-18+7.86923e-18*ii, -5.33609e-18+1.31632e-17*ii, 1.97973+1.15796*ii, .285638-1.43842*ii, -1.63342e-17+7.46024e-18*ii
3.55076e-17+3.78453e-17*ii, .311361+.891155*ii, 1.99673+1.60731*ii, 3.73389e-18+1.87431e-17*ii, 4.00977e-17+5.62984e-18*ii, .993079-.332279*ii, -.98367+.081548*ii, 6.721e-17+3.61436e-17*ii
