variable ordering: d, dt, dt0, L, c, F0, F, v

component_1:
equations:
-2*d+dt0*c
-4*d^2-dt^2*v^2+4*L^2
dt0*F0-1
10.0001*c^2*F0^2-1000.3*c^2*F^2-1000.08*F0^2*v^2
points:
-.280697-.0388044*ii, -.940558-.083537*ii, -.130007-1.13596*ii, -.145666+.163503*ii, .123265-.480095*ii, -.099446+.868931*ii, 1.21599+.150258*ii, .179169-.672777*ii
1.21793-.758232*ii, 2.35826-3.28488*ii, .339096+.0512903*ii, 17.9138-1.56305*ii, 6.36143-5.43429*ii, 2.88306-.436081*ii, 3.0721-.46512*ii, 5.76679+6.74871*ii
.190492+.189657*ii, -3.46037-.067714*ii, -1.38125-.65531*ii, -1.00979+2.0069*ii, -.331497-.117344*ii, -.590963+.280372*ii, 2.29629-.792907*ii, .568886-1.17528*ii
1.30417-.461908*ii, -1.19302+3.62708*ii, -.253424-.387341*ii, -13.0736+6.98157*ii, -1.41506+5.80815*ii, -1.18281+1.80783*ii, -2.49216+1.27142*ii, -5.59705-5.33287*ii
-.0842194-.0328537*ii, -17.6857+7.37961*ii, -14.0919+2.91687*ii, 15.5681+24.9116*ii, .0105363+.0068437*ii, -.0680474-.0140851*ii, 14.5842-8.6471*ii, .498269+3.02506*ii
-.138765-.118122*ii, 8.93694-7.10515*ii, 7.84815-3.9043*ii, -13.8465-14.2739*ii, -.0163426-.0382321*ii, .10214+.0508127*ii, -6.63276+6.88013*ii, -.342522-3.46656*ii
-.0612702+.0202757*ii, 28.0074+24.7164*ii, .0347418-.0311339*ii, 30.1947-24.552*ii, -2.53631-1.10569*ii, 15.9636+14.3058*ii, -14.3622-7.63712*ii, -.34234+2.05536*ii
-.0759406+.119517*ii, 5.81305+11.7481*ii, .0605357-.12112*ii, 9.35006-7.07087*ii, -2.08055-.214114*ii, 3.30173+6.60608*ii, -4.33028-4.64564*ii, -.334187-1.75708*ii
.0755731+.153613*ii, 9.42673-3.72929*ii, .176224+.0524056*ii, -.964997-6.79452*ii, 1.26433+1.36739*ii, 5.21353-1.5504*ii, -2.56105+3.03013*ii, -.316244+1.31611*ii
.556104-.70844*ii, -1.6926+1.33395*ii, -.513168+1.23523*ii, -.582389-3.86575*ii, -1.29723-.361479*ii, -.286826-.690407*ii, -.350197-1.98918*ii, 1.71626-3.20579*ii
-.0944707+.0302834*ii, -15.8679-15.7044*ii, -.0568644+.0563814*ii, -18.6963+13.3287*ii, 2.20804+1.12418*ii, -8.86784-8.79253*ii, 9.22296+4.86613*ii, .350506-2.02686*ii
-.283775-.332622*ii, -3.99355+8.01566*ii, -.0529532-.155879*ii, 17.3694+12.6436*ii, 4.93504-1.9645*ii, -1.95383+5.7515*ii, 4.19673-3.55628*ii, -.796961+4.73043*ii
.388264-.0626962*ii, 1.82008+.423794*ii, .496561-.558701*ii, -.442001-.414254*ii, .815525+.665059*ii, .888747+.999967*ii, -.671356+.576484*ii, -.53811-.453983*ii
9.13207-5.33985*ii, -4.31988-1.74171*ii, 1.80156-.137877*ii, 13.5373+8.18803*ii, 10.53-5.12216*ii, .551844+.042234*ii, -.274209+.241961*ii, 7.37906+2.34125*ii
-.618677-.303189*ii, 4.14113-4.10918*ii, .113019+.235603*ii, -15.9915-9.69465*ii, -4.14031+3.26575*ii, 1.65518-3.45044*ii, -3.55666+3.01004*ii, -1.54876-6.21674*ii
.0458242-.380024*ii, .277383+.0704805*ii, .294316-.978102*ii, -.0418985+.387738*ii, .738402-.128489*ii, .2821+.937503*ii, .388708+.643781*ii, -.236856-.520107*ii
-5.60438+12.0925*ii, 9.14525-8.90427*ii, 3.92834-1.96376*ii, -12.1287-18.4013*ii, -4.74514+3.78446*ii, .203665+.101811*ii, .0548182+.13168*ii, -.197914+3.79093*ii
.370476-.17897*ii, 1.72387+.667135*ii, .427919-.540967*ii, .447243+.170034*ii, 1.07344+.52056*ii, .899442+1.13706*ii, -.472743+.511453*ii, -.558352-.174207*ii
-.228571-.212235*ii, -1.80611+.715537*ii, -.949993+1.05435*ii, .375789+1.01634*ii, -.006583+.439508*ii, -.471661-.523474*ii, 1.34509-1.11061*ii, .063227-1.08732*ii
-.0696656+.256964*ii, -1.80361-.721321*ii, -.537132+.84068*ii, .992762+.106933*ii, .509306-.159672*ii, -.539694-.844689*ii, 1.72157-1.00288*ii, 1.02587-.276022*ii
-.072692+.352382*ii, -.15859-1.89936*ii, -.019764+.78927*ii, .062747-.839096*ii, .896983+.161739*ii, -.031707-1.2662*ii, 1.10377-.082259*ii, .795007+.10368*ii
-.508106+.001146*ii, -.197195-.131703*ii, -.296893+1.12745*ii, -.498687+.0037259*ii, .22386+.842386*ii, -.218417-.82944*ii, .734542-.361608*ii, -.369472-.750248*ii
-.12391+.568403*ii, -1.92756+1.32974*ii, -.27752-.70989*ii, .175656-2.68491*ii, -1.27071-.845858*ii, -.477691+1.22192*ii, .836381-1.74461*ii, 1.38076-1.77169*ii
-1.35997+.24342*ii, 2.41226-.085977*ii, .326838+1.20832*ii, -2.93635-.833722*ii, -.191929+2.19911*ii, .208595-.771175*ii, -.473141+.724998*ii, -2.19261-.936372*ii
.0837268+.0292509*ii, -18.2592+6.63112*ii, -14.3267+2.3005*ii, 14.4173+25.6704*ii, -.0107552-.0058104*ii, -.0680451-.0109262*ii, 14.9995-8.18402*ii, .493003+2.99082*ii
-1.02862-.226201*ii, .58652+1.24685*ii, -.322416+1.67234*ii, .249031+.0022270*ii, -.032159+1.23635*ii, -.111152-.576536*ii, .306697-.637729*ii, -1.16914-.922518*ii
